node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,cell_0,Logic,2,1,1,0.341,10.3,1.4,0.75,0.168,0
1,cell_1,Logic,3,9,1,0.262,28.2,1.9,3.53,0.51,0
2,cell_2,Register,1,3,1,0.468,17.5,3.8,2.98,0.114,0
3,cell_3,Buffer,6,2,2,0.189,15.9,2.2,5.02,0.51,1
4,cell_4,Buffer,3,1,2,0.334,10.7,3.3,1.93,0.906,0
5,cell_5,Buffer,7,1,7,0.141,18.5,2.9,4.49,0.349,1
6,cell_6,Logic,3,1,1,1.089,12.1,3.1,3.54,0.727,0
7,cell_7,Logic,1,6,1,0.511,15.6,2.7,2.26,0.819,0
8,cell_8,Port,5,2,3,0.29,27.8,4.0,3.68,0.815,0
9,cell_9,Logic,6,3,1,0.564,14.5,2.3,3.6,0.236,0
10,cell_10,Logic,1,1,1,0.466,20.7,3.8,3.89,0.146,0
11,cell_11,Logic,6,10,1,0.434,11.5,2.1,4.1,0.197,0
12,cell_12,Buffer,4,5,1,0.684,14.8,2.0,3.8,0.602,0
13,cell_13,Buffer,4,1,6,0.727,23.9,1.5,4.69,0.76,0
14,cell_14,Logic,2,1,3,0.341,11.9,1.8,3.64,0.656,0
15,cell_15,Buffer,6,1,2,0.327,24.1,1.5,5.02,0.177,0
16,cell_16,Port,7,1,1,0.417,18.5,3.1,3.73,0.773,0
17,cell_17,Buffer,3,2,1,-0.191,12.2,4.0,2.04,0.494,1
18,cell_18,Port,4,1,1,0.045,18.2,1.7,2.7,0.754,1
19,cell_19,Register,3,1,1,0.91,19.9,1.9,3.4,0.76,0
20,cell_20,Logic,3,2,1,0.993,18.1,2.9,4.16,0.449,0
21,cell_21,Buffer,7,1,2,0.425,7.1,3.9,0.95,0.924,0
22,cell_22,Port,1,1,2,0.673,11.4,4.9,1.98,0.564,0
23,cell_23,Register,3,1,1,0.593,13.8,3.1,4.24,0.635,0
24,cell_24,Register,6,1,6,1.424,14.6,2.1,1.38,0.625,0
25,cell_25,Buffer,7,4,2,0.836,18.1,1.4,1.16,0.864,0
26,cell_26,Buffer,4,1,1,0.462,15.9,1.8,3.2,0.627,0
27,cell_27,Register,5,2,1,0.213,8.3,1.9,5.36,0.151,0
28,cell_28,Logic,3,2,1,0.018,16.9,1.7,3.15,0.068,1
29,cell_29,Logic,2,1,1,0.561,18.1,1.1,5.07,0.442,0
30,cell_30,Port,7,2,1,0.273,17.8,3.1,4.65,0.303,0
31,cell_31,Logic,1,1,2,0.073,20.4,2.1,1.78,0.275,1
32,cell_32,Register,8,1,1,0.306,19.2,4.9,4.62,0.056,0
33,cell_33,Register,4,8,1,0.176,17.3,3.2,2.91,0.507,1
34,cell_34,Register,4,10,1,1.006,14.6,3.8,4.53,0.31,0
35,cell_35,Logic,8,4,1,0.764,6.7,1.5,4.23,0.452,0
36,cell_36,Port,6,1,3,0.498,17.1,4.5,2.19,0.057,0
37,cell_37,Logic,5,1,2,0.944,16.0,3.0,1.08,0.832,0
38,cell_38,Port,4,3,1,0.523,16.4,4.5,5.31,0.077,0
39,cell_39,Logic,4,1,1,0.242,8.6,3.3,1.2,0.864,0
40,cell_40,Register,1,1,1,0.957,9.6,2.9,5.33,0.855,0
41,cell_41,Register,4,2,1,0.662,20.3,2.8,4.8,0.615,0
42,cell_42,Buffer,7,1,1,0.189,14.8,1.7,4.12,0.507,1
43,cell_43,Logic,6,7,1,0.443,18.4,1.2,5.4,0.463,0
44,cell_44,Logic,5,1,1,0.237,15.1,4.8,5.34,0.554,0
45,cell_45,Buffer,2,3,1,0.085,15.1,2.9,4.52,0.792,1
46,cell_46,Register,5,1,2,0.778,19.7,4.3,2.33,0.896,0
47,cell_47,Logic,6,2,1,1.073,12.4,2.6,4.45,0.45,0
48,cell_48,Buffer,7,2,1,0.08,15.5,1.3,0.57,0.81,1
49,cell_49,Logic,6,1,1,0.669,12.7,3.5,3.18,0.652,0
50,cell_50,Port,1,10,1,0.305,12.8,1.2,2.77,0.322,0
51,cell_51,Register,2,4,3,0.354,13.5,1.6,3.86,0.476,0
52,cell_52,Port,5,8,2,0.322,16.1,3.3,3.86,0.151,0
53,cell_53,Register,3,6,1,0.241,12.6,2.2,3.42,0.062,0
54,cell_54,Buffer,5,2,1,0.515,21.3,5.0,4.61,0.104,0
55,cell_55,Register,1,7,2,0.251,10.5,1.5,5.2,0.899,0
56,cell_56,Register,2,1,1,0.581,14.1,4.1,1.04,0.343,0
57,cell_57,Buffer,7,1,1,0.485,12.8,3.4,1.67,0.714,0
58,cell_58,Register,6,1,5,0.428,22.2,4.2,0.63,0.505,0
59,cell_59,Logic,6,1,1,0.228,16.0,1.9,4.92,0.173,0
60,cell_60,Buffer,7,1,1,0.327,20.2,3.1,3.31,0.248,0
61,cell_61,Buffer,2,1,2,0.727,7.6,2.8,5.08,0.438,0
62,cell_62,Buffer,7,5,1,0.65,16.3,2.8,1.61,0.439,0
63,cell_63,Port,4,1,1,0.207,19.4,4.4,0.82,0.523,0
64,cell_64,Port,5,1,5,0.53,15.4,5.0,4.62,0.159,0
65,cell_65,Register,1,2,1,0.725,20.3,2.2,5.05,0.373,0
66,cell_66,Buffer,7,1,6,-0.001,12.4,3.5,2.01,0.283,1
67,cell_67,Register,1,4,4,0.663,22.0,3.4,2.54,0.409,0
68,cell_68,Logic,4,1,1,0.301,26.5,4.0,1.2,0.338,0
69,cell_69,Buffer,6,13,1,0.671,13.2,4.8,5.23,0.598,0
70,cell_70,Logic,7,4,1,0.271,12.8,1.8,2.02,0.789,0
71,cell_71,Register,2,1,1,-0.041,22.3,1.8,2.96,0.647,1
72,cell_72,Port,6,1,1,0.012,22.9,3.6,0.99,0.066,1
73,cell_73,Register,6,5,2,0.514,12.4,1.6,4.94,0.095,0
74,cell_74,Logic,2,3,1,0.578,12.9,1.7,1.18,0.678,0
75,cell_75,Buffer,5,3,1,0.229,13.6,1.3,2.77,0.284,0
76,cell_76,Register,5,4,3,0.692,8.3,1.0,3.85,0.724,0
77,cell_77,Buffer,7,1,1,0.002,10.4,2.8,4.22,0.657,1
78,cell_78,Port,6,1,3,0.48,10.0,3.4,5.23,0.906,0
79,cell_79,Port,7,1,1,0.137,11.2,2.2,2.6,0.873,1
80,cell_80,Port,5,5,1,0.304,14.8,1.9,4.21,0.333,0
81,cell_81,Buffer,3,2,2,0.514,16.2,3.8,1.27,0.583,0
82,cell_82,Register,4,1,1,0.242,22.8,3.8,2.57,0.141,0
83,cell_83,Buffer,7,1,4,0.385,10.0,2.8,1.0,0.35,0
84,cell_84,Buffer,7,1,2,0.802,19.9,3.7,2.95,0.968,0
85,cell_85,Register,3,1,3,0.327,13.9,4.7,2.54,0.698,0
86,cell_86,Port,5,3,1,0.751,14.8,4.2,5.26,0.392,0
87,cell_87,Port,7,3,1,0.161,18.4,3.5,0.66,0.595,1
88,cell_88,Register,1,6,2,0.659,9.4,3.6,2.35,0.938,0
89,cell_89,Buffer,5,1,3,0.932,16.9,4.7,2.72,0.31,0
90,cell_90,Buffer,5,1,9,-0.241,15.8,2.7,5.25,0.377,1
91,cell_91,Port,4,3,1,0.261,17.5,3.2,4.78,0.792,0
92,cell_92,Logic,7,4,1,0.673,16.4,3.6,1.0,0.813,0
93,cell_93,Logic,6,2,2,0.439,27.3,4.6,3.93,0.67,0
94,cell_94,Logic,8,4,1,0.611,11.8,4.3,3.22,0.829,0
95,cell_95,Buffer,8,2,5,0.319,12.3,1.3,5.39,0.739,0
96,cell_96,Buffer,8,2,3,0.526,11.9,1.7,2.29,0.685,0
97,cell_97,Port,4,1,1,0.453,12.2,2.2,2.49,0.526,0
98,cell_98,Logic,8,1,2,0.85,11.8,4.0,1.45,0.646,0
99,cell_99,Port,3,1,2,0.576,20.9,3.3,1.11,0.423,0
100,cell_100,Port,2,1,1,0.601,22.1,2.2,4.74,0.362,0
101,cell_101,Port,5,3,4,0.376,12.1,1.5,2.77,0.363,0
102,cell_102,Register,6,1,1,0.354,10.8,3.8,3.81,0.18,0
103,cell_103,Logic,2,2,3,0.37,17.4,3.8,3.71,0.214,0
104,cell_104,Logic,4,7,1,0.618,12.2,4.8,3.49,0.948,0
105,cell_105,Register,5,1,4,0.374,18.2,3.0,0.61,0.486,0
106,cell_106,Register,4,1,1,0.587,16.0,3.0,4.43,0.227,0
107,cell_107,Logic,4,4,1,1.123,7.4,1.3,1.72,0.138,0
108,cell_108,Register,3,1,4,0.761,22.7,1.2,1.13,0.077,0
109,cell_109,Port,1,1,1,0.402,24.0,2.7,3.32,0.844,0
110,cell_110,Buffer,1,1,1,0.86,11.9,2.3,0.84,0.101,0
111,cell_111,Port,4,1,5,0.378,13.1,2.0,4.33,0.771,0
112,cell_112,Logic,8,7,6,-0.111,16.4,1.4,1.54,0.835,1
113,cell_113,Register,2,4,1,0.198,16.7,4.8,1.58,0.884,1
114,cell_114,Buffer,8,3,1,-0.061,18.3,4.3,4.85,0.038,1
115,cell_115,Logic,7,6,1,0.395,25.1,3.3,2.14,0.337,0
116,cell_116,Register,4,4,1,0.506,14.1,4.8,1.24,0.766,0
117,cell_117,Buffer,7,1,1,1.003,11.0,5.0,5.0,0.131,0
118,cell_118,Buffer,8,6,2,0.598,8.1,3.7,0.51,0.377,0
119,cell_119,Register,7,2,2,0.434,11.3,2.1,4.79,0.162,0
120,cell_120,Buffer,4,4,3,0.749,14.8,1.2,1.22,0.831,0
121,cell_121,Logic,3,6,3,-0.163,24.0,4.0,1.15,0.771,1
122,cell_122,Register,1,1,1,0.571,12.4,2.9,1.75,0.809,0
123,cell_123,Port,2,1,1,0.731,16.1,3.6,1.37,0.166,0
124,cell_124,Logic,7,1,1,0.056,14.9,4.7,3.81,0.438,1
125,cell_125,Logic,4,1,1,0.843,20.9,1.7,0.63,0.411,0
126,cell_126,Register,3,5,1,0.602,27.6,3.3,0.57,0.676,0
127,cell_127,Register,8,5,4,0.375,12.3,3.5,4.45,0.238,0
128,cell_128,Buffer,1,1,1,0.69,12.6,3.0,1.69,0.444,0
129,cell_129,Logic,4,2,1,1.181,20.2,1.4,2.12,0.285,0
130,cell_130,Buffer,2,1,1,0.555,18.4,2.4,1.37,0.749,0
131,cell_131,Logic,8,1,2,0.574,24.2,2.3,0.76,0.449,0
132,cell_132,Logic,3,1,1,0.362,17.9,3.7,4.21,0.534,0
133,cell_133,Port,8,1,1,0.245,13.2,4.4,3.13,0.309,0
134,cell_134,Logic,6,8,1,0.749,18.0,2.3,4.23,0.809,0
135,cell_135,Buffer,8,1,2,0.243,20.5,3.8,2.88,0.469,0
136,cell_136,Buffer,7,2,1,0.521,19.1,2.2,4.39,0.835,0
137,cell_137,Port,8,3,3,0.357,17.5,4.8,3.07,0.368,0
138,cell_138,Buffer,3,1,2,0.644,20.3,4.3,1.05,0.947,0
139,cell_139,Register,8,10,1,0.6,20.8,3.2,3.02,0.984,0
140,cell_140,Port,8,9,1,0.811,21.9,2.8,5.23,0.462,0
141,cell_141,Buffer,5,1,8,0.347,18.2,2.3,0.72,0.282,0
142,cell_142,Buffer,4,2,1,0.419,14.2,2.3,4.42,0.382,0
143,cell_143,Register,5,1,1,0.206,15.7,4.9,4.83,0.527,0
144,cell_144,Port,8,1,3,0.367,21.0,2.6,3.11,0.966,0
145,cell_145,Register,4,1,5,0.613,10.9,3.1,2.79,0.817,0
146,cell_146,Port,5,2,8,0.727,16.8,5.0,5.32,0.801,0
147,cell_147,Port,8,2,2,0.223,13.0,3.6,0.8,0.138,0
148,cell_148,Logic,2,1,1,0.761,15.1,3.2,2.89,0.25,0
149,cell_149,Buffer,5,1,1,0.907,21.4,2.7,2.51,0.641,0
150,cell_150,Buffer,4,7,3,0.624,16.0,1.8,3.93,0.874,0
151,cell_151,Logic,5,1,1,1.063,15.2,2.4,2.95,0.555,0
152,cell_152,Register,6,1,1,0.268,8.2,4.0,5.05,0.103,0
153,cell_153,Logic,6,2,4,0.127,18.7,3.5,0.87,0.846,1
154,cell_154,Buffer,2,12,1,-0.034,18.2,4.0,0.9,0.851,1
155,cell_155,Buffer,3,1,1,0.949,25.8,1.8,3.54,0.285,0
156,cell_156,Logic,3,3,1,0.696,13.5,3.2,0.83,0.763,0
157,cell_157,Logic,4,4,1,0.483,16.1,4.7,1.88,0.273,0
158,cell_158,Logic,7,1,1,0.584,16.2,2.8,3.67,0.905,0
159,cell_159,Buffer,3,3,1,0.162,22.9,3.8,3.24,0.147,1
160,cell_160,Logic,4,1,1,1.234,14.5,1.5,2.13,0.437,0
161,cell_161,Logic,2,3,2,0.539,16.4,4.9,5.47,0.946,0
162,cell_162,Register,7,3,2,0.533,18.0,3.4,3.15,0.222,0
163,cell_163,Logic,7,2,1,0.718,15.9,2.0,2.77,0.451,0
164,cell_164,Buffer,6,1,6,0.644,12.8,1.6,3.53,0.35,0
165,cell_165,Register,8,5,1,0.567,16.0,3.2,1.0,0.027,0
166,cell_166,Port,7,1,1,0.263,20.4,3.2,4.01,0.053,0
167,cell_167,Buffer,1,1,4,0.641,9.9,1.4,4.76,0.502,0
168,cell_168,Buffer,4,1,1,1.065,15.7,5.0,3.75,0.236,0
169,cell_169,Port,7,2,6,0.904,11.5,4.7,4.34,0.995,0
170,cell_170,Buffer,7,3,1,0.978,21.0,2.8,4.1,0.375,0
171,cell_171,Port,1,1,7,0.347,7.4,1.5,1.58,0.028,0
172,cell_172,Port,7,2,1,0.203,12.2,4.3,2.76,0.931,0
173,cell_173,Buffer,8,1,4,0.462,16.9,3.0,1.64,0.839,0
174,cell_174,Logic,1,3,1,0.517,22.8,3.9,2.19,0.65,0
175,cell_175,Logic,6,1,9,0.828,14.7,3.0,2.77,0.791,0
176,cell_176,Port,5,3,1,-0.008,12.2,2.1,2.58,0.138,1
177,cell_177,Register,7,1,1,0.959,24.4,4.3,0.98,0.287,0
178,cell_178,Port,7,8,6,0.453,7.8,4.9,2.63,0.83,0
179,cell_179,Port,4,1,1,0.372,4.0,2.0,3.83,0.696,0
180,cell_180,Port,8,1,1,0.196,17.2,3.2,2.37,0.139,1
181,cell_181,Logic,4,1,2,0.004,12.5,2.5,1.26,0.706,1
182,cell_182,Logic,5,7,1,0.747,9.9,4.7,5.11,0.449,0
183,cell_183,Logic,7,6,1,0.522,18.5,3.0,0.84,0.005,0
184,cell_184,Port,8,1,1,0.113,16.2,4.5,4.66,0.079,1
185,cell_185,Register,1,3,4,0.111,12.2,4.5,0.97,0.256,1
186,cell_186,Logic,7,5,1,0.399,8.6,2.1,0.98,0.835,0
187,cell_187,Buffer,6,2,1,1.001,19.4,4.2,4.19,0.549,0
188,cell_188,Buffer,7,2,6,0.422,18.3,2.7,4.56,0.727,0
189,cell_189,Buffer,3,1,4,0.049,14.5,4.7,3.28,0.528,1
190,cell_190,Port,8,1,1,0.426,24.2,3.0,3.43,0.111,0
191,cell_191,Buffer,3,6,1,0.418,9.6,4.3,3.31,0.288,0
192,cell_192,Port,1,6,1,-0.309,7.4,2.1,2.15,0.301,1
193,cell_193,Buffer,7,3,1,0.484,11.5,2.2,1.11,0.048,0
194,cell_194,Register,1,1,1,0.431,14.8,3.3,2.27,0.42,0
195,cell_195,Port,2,1,1,0.709,16.2,5.0,3.83,0.794,0
196,cell_196,Buffer,7,3,1,1.055,13.8,3.0,4.25,0.457,0
197,cell_197,Logic,3,6,1,0.838,16.8,1.6,4.84,0.111,0
198,cell_198,Port,8,6,7,0.419,8.7,3.2,4.11,0.905,0
199,cell_199,Logic,3,4,8,0.168,22.2,2.4,5.34,0.597,1
200,cell_200,Logic,1,3,2,1.272,14.6,3.2,3.5,0.016,0
201,cell_201,Logic,5,1,1,0.518,20.6,3.2,2.26,0.515,0
202,cell_202,Logic,7,1,1,0.504,16.7,2.8,3.39,0.242,0
203,cell_203,Buffer,6,6,3,0.493,17.3,2.3,1.56,0.144,0
204,cell_204,Buffer,4,2,2,0.559,17.8,1.8,3.78,0.429,0
205,cell_205,Port,8,1,1,0.457,17.2,3.8,1.62,0.615,0
206,cell_206,Port,6,1,4,0.328,18.2,3.3,1.04,0.241,0
207,cell_207,Port,6,3,3,0.336,21.6,1.9,4.73,0.417,0
208,cell_208,Buffer,7,1,5,0.49,16.0,4.1,2.34,0.664,0
209,cell_209,Port,5,1,2,0.337,18.5,1.2,4.31,0.086,0
210,cell_210,Logic,7,2,1,0.286,14.6,4.0,3.37,0.975,0
211,cell_211,Buffer,5,3,1,0.532,22.2,3.8,4.54,0.068,0
212,cell_212,Port,2,3,5,0.424,11.6,4.2,4.73,0.526,0
213,cell_213,Logic,8,1,4,0.951,24.0,2.5,5.37,0.507,0
214,cell_214,Port,1,3,1,-0.295,14.8,3.7,4.59,0.988,1
215,cell_215,Register,1,1,1,0.827,7.8,4.3,3.57,0.554,0
216,cell_216,Port,6,1,1,0.874,15.6,4.9,3.71,0.39,0
217,cell_217,Register,4,4,3,-0.122,11.6,3.0,0.63,0.47,1
218,cell_218,Port,2,3,8,0.397,19.2,1.1,5.15,0.636,0
219,cell_219,Port,1,5,1,0.389,11.7,3.0,4.65,0.981,0
220,cell_220,Buffer,1,3,1,0.078,12.8,3.4,1.84,0.254,1
221,cell_221,Buffer,4,2,1,0.267,5.6,4.5,1.4,0.016,0
222,cell_222,Register,4,1,7,0.167,12.7,4.5,4.01,0.789,1
223,cell_223,Buffer,1,1,3,1.026,2.9,2.8,2.04,0.345,0
224,cell_224,Logic,3,1,3,0.781,7.1,3.1,2.2,0.733,0
225,cell_225,Logic,4,1,1,0.881,18.8,2.8,0.53,0.628,0
226,cell_226,Register,3,10,1,0.717,18.9,3.9,4.85,0.772,0
227,cell_227,Logic,8,1,1,0.161,17.1,2.6,3.33,0.735,1
228,cell_228,Logic,2,6,1,0.343,10.2,3.6,2.5,0.333,0
229,cell_229,Port,4,2,4,0.647,14.8,1.6,1.21,0.044,0
230,cell_230,Buffer,8,4,3,0.133,15.0,2.9,3.67,0.546,1
231,cell_231,Logic,5,2,16,0.714,9.2,4.9,0.65,0.814,0
232,cell_232,Logic,6,2,11,0.428,22.5,2.4,4.23,0.175,0
233,cell_233,Buffer,3,2,1,0.388,19.4,3.8,1.58,0.779,0
234,cell_234,Logic,2,1,2,0.713,13.9,3.6,2.6,0.465,0
235,cell_235,Logic,3,3,5,0.633,15.1,4.4,2.2,0.695,0
236,cell_236,Buffer,5,1,3,0.392,16.0,4.4,2.35,0.632,0
237,cell_237,Port,2,1,1,0.848,4.8,4.4,4.11,0.811,0
238,cell_238,Logic,1,3,1,0.176,13.8,2.5,4.38,0.063,1
239,cell_239,Buffer,5,1,1,0.685,11.6,2.3,3.34,0.776,0
240,cell_240,Logic,7,8,6,0.678,10.0,3.9,0.92,0.458,0
241,cell_241,Logic,7,9,1,0.407,13.6,4.0,0.76,0.293,0
242,cell_242,Port,4,7,1,0.598,24.0,4.5,1.29,0.044,0
243,cell_243,Register,2,1,2,0.125,18.2,1.1,3.59,0.199,1
244,cell_244,Register,4,1,1,0.777,12.1,1.3,3.87,0.042,0
245,cell_245,Buffer,2,7,1,0.445,17.9,3.5,1.86,0.933,0
246,cell_246,Register,5,1,1,0.343,22.0,4.7,3.81,0.515,0
247,cell_247,Buffer,2,10,2,0.815,19.6,5.0,2.93,0.989,0
248,cell_248,Register,1,9,1,0.289,15.3,4.0,2.71,0.543,0
249,cell_249,Port,6,5,2,0.077,11.8,2.7,1.87,0.253,1
250,cell_250,Buffer,7,1,1,0.033,18.5,1.4,4.27,0.753,1
251,cell_251,Register,6,1,3,0.682,17.0,3.5,1.07,0.191,0
252,cell_252,Port,2,5,1,0.116,19.5,4.5,2.65,0.357,1
253,cell_253,Register,6,1,1,1.026,18.2,2.8,1.92,0.781,0
254,cell_254,Logic,1,1,4,-0.125,20.2,3.8,3.89,0.866,1
255,cell_255,Logic,7,2,1,1.009,12.3,4.6,2.93,0.332,0
256,cell_256,Port,8,8,1,0.563,21.6,1.2,3.84,0.124,0
257,cell_257,Logic,2,3,1,0.471,16.0,4.2,0.73,0.368,0
258,cell_258,Logic,7,2,2,0.337,25.4,2.2,2.48,0.889,0
259,cell_259,Buffer,6,1,1,0.62,11.6,2.5,3.5,0.743,0
260,cell_260,Register,8,2,2,0.489,23.7,1.6,0.54,0.895,0
261,cell_261,Buffer,3,13,1,0.831,16.0,3.1,2.01,0.387,0
262,cell_262,Register,7,1,1,0.534,11.7,3.3,1.56,0.974,0
263,cell_263,Logic,3,2,1,0.545,12.6,4.2,1.19,0.496,0
264,cell_264,Buffer,5,6,1,0.391,13.4,1.7,1.78,0.498,0
265,cell_265,Register,8,4,1,0.483,17.1,1.3,2.14,0.924,0
266,cell_266,Register,8,3,1,0.592,17.6,4.5,0.54,0.519,0
267,cell_267,Buffer,7,3,1,-0.013,12.1,3.5,4.24,0.801,1
268,cell_268,Port,5,1,4,0.096,14.9,2.0,1.38,0.727,1
269,cell_269,Register,6,1,1,0.723,25.7,4.7,2.4,0.079,0
270,cell_270,Logic,4,4,1,0.551,23.6,1.6,4.02,0.602,0
271,cell_271,Register,2,4,3,0.445,17.2,2.8,3.0,0.822,0
272,cell_272,Logic,5,6,1,0.506,15.2,2.0,4.67,0.545,0
273,cell_273,Buffer,8,7,1,0.604,15.6,2.0,4.53,0.321,0
274,cell_274,Register,4,2,3,0.338,18.1,1.0,0.86,0.08,0
275,cell_275,Logic,8,2,5,0.267,9.9,4.2,4.81,0.661,0
276,cell_276,Logic,7,4,1,0.559,13.7,4.6,0.71,0.306,0
277,cell_277,Buffer,6,3,5,0.206,6.7,3.7,0.59,0.603,0
278,cell_278,Register,1,3,1,0.622,17.0,1.6,5.11,0.426,0
279,cell_279,Register,8,4,1,-0.011,18.2,2.8,4.81,0.69,1
280,cell_280,Buffer,6,6,1,0.809,12.6,2.4,3.38,0.352,0
281,cell_281,Register,3,1,7,0.642,22.9,3.4,3.37,0.042,0
282,cell_282,Buffer,8,1,1,0.577,8.9,3.6,4.05,0.87,0
283,cell_283,Register,4,1,1,0.795,7.7,2.7,2.59,0.353,0
284,cell_284,Port,6,2,2,1.0,16.1,2.0,1.08,0.998,0
285,cell_285,Register,5,1,1,0.804,20.2,4.4,0.6,0.275,0
286,cell_286,Logic,6,1,1,-0.052,23.4,1.8,2.12,0.98,1
287,cell_287,Logic,5,2,1,0.116,12.7,2.5,4.51,0.948,1
288,cell_288,Port,5,1,1,0.313,20.4,2.9,3.59,0.075,0
289,cell_289,Register,1,2,1,0.508,14.8,1.9,4.66,0.638,0
290,cell_290,Logic,4,1,1,0.655,14.1,3.3,5.1,0.363,0
291,cell_291,Logic,2,1,2,0.282,19.4,3.3,0.94,0.801,0
292,cell_292,Register,4,5,1,0.556,18.3,5.0,4.72,0.679,0
293,cell_293,Buffer,7,1,1,0.273,7.1,2.2,1.72,0.953,0
294,cell_294,Register,8,1,4,0.317,22.4,4.9,3.44,0.143,0
295,cell_295,Buffer,4,2,1,0.078,21.9,3.6,3.12,0.608,1
296,cell_296,Port,8,4,2,0.223,11.9,2.1,2.48,0.781,0
297,cell_297,Port,8,1,1,0.094,17.0,3.3,2.05,0.035,1
298,cell_298,Logic,8,2,1,0.207,17.5,3.7,2.2,0.067,0
299,cell_299,Logic,1,1,1,0.816,16.3,4.0,2.17,0.779,0
