src_id,dst_id,wire_cap_ff,wire_length_um
0,121,72.24,393.49
0,167,20.86,115.22
0,15,29.79,256.92
0,130,65.89,336.82
1,253,3.74,39.9
1,41,99.05,436.74
1,286,41.84,367.86
1,222,64.38,481.34
1,88,81.17,435.96
1,198,74.28,328.24
2,198,47.78,278.7
2,252,27.51,120.76
2,317,59.95,324.73
3,94,11.56,51.29
3,25,51.22,433.26
3,311,41.7,267.97
3,60,2.84,13.17
3,108,22.46,201.7
4,220,106.19,461.66
4,117,39.14,322.01
5,317,55.5,414.14
5,28,47.45,248.49
6,267,44.16,376.3
6,42,57.78,308.18
6,39,1.41,9.48
6,103,82.96,382.06
7,288,26.66,130.69
7,275,12.81,86.07
7,227,57.25,355.67
7,231,16.28,95.17
8,30,13.68,59.54
8,240,113.96,473.26
8,232,80.1,421.35
8,188,2.64,10.62
9,146,9.05,39.9
9,297,2.52,12.95
9,259,88.89,379.16
9,274,60.36,488.9
10,252,43.35,344.85
10,293,43.9,337.45
10,284,10.98,56.94
10,77,23.34,133.13
10,94,42.9,477.13
10,186,8.32,63.48
11,109,62.43,325.14
11,222,16.78,69.21
11,159,83.5,443.87
11,94,15.89,65.24
11,143,94.02,392.55
12,43,40.85,275.24
12,88,62.54,294.94
13,33,90.3,435.81
13,21,55.98,278.21
13,248,15.46,126.66
13,24,73.36,404.63
14,133,24.74,182.23
14,218,13.33,117.64
14,203,7.66,61.27
14,281,25.86,129.96
14,173,52.84,394.4
15,41,24.91,189.37
15,213,47.82,357.37
15,214,63.22,404.68
16,232,35.78,143.83
16,99,45.45,372.03
16,307,50.75,215.53
16,277,71.62,298.88
16,223,91.08,385.59
17,265,46.19,460.9
17,205,36.08,224.36
17,275,46.87,240.48
17,46,61.67,393.44
17,10,41.97,321.51
17,270,70.21,455.74
18,144,85.77,459.64
18,85,39.07,335.68
18,252,25.5,152.71
19,103,69.88,345.38
19,108,25.99,125.6
19,100,28.28,153.7
20,69,23.74,177.74
20,252,33.51,315.32
20,260,8.7,41.12
21,12,52.35,442.63
21,175,24.88,162.14
21,191,80.33,385.5
21,19,24.11,133.34
21,215,73.67,389.57
22,39,57.31,372.09
22,19,16.69,83.23
22,195,41.08,192.15
22,252,14.6,120.85
22,180,9.98,53.26
23,199,47.84,421.52
23,278,26.1,307.3
23,44,48.04,347.29
24,173,31.09,279.35
24,26,12.52,143.68
24,138,70.61,315.1
24,218,29.91,190.78
24,239,44.8,291.37
24,188,34.38,332.16
25,54,27.55,319.66
25,196,25.16,192.06
25,295,12.64,88.61
25,47,8.67,99.13
25,252,27.61,178.06
25,61,4.13,20.14
26,232,10.39,124.92
26,10,92.08,428.68
26,285,63.4,385.54
26,58,20.19,100.1
26,191,29.37,186.49
26,15,7.44,74.21
27,35,22.63,160.37
27,137,37.62,433.63
27,58,30.86,380.13
27,240,4.59,52.19
28,13,26.52,171.33
28,173,50.33,337.27
28,232,53.8,304.72
29,106,31.78,358.17
29,13,7.32,89.05
29,50,87.46,416.99
29,297,41.98,212.77
30,302,80.87,399.5
30,207,27.34,248.83
30,174,80.3,329.59
30,165,49.68,228.21
30,118,42.54,201.79
30,271,42.41,317.49
31,199,0.55,6.09
31,226,96.24,484.9
31,230,107.52,464.22
32,251,5.87,68.95
32,116,3.37,34.21
33,200,1.95,18.15
33,41,35.73,361.97
33,110,62.04,435.38
34,292,64.18,424.72
34,101,62.83,370.07
34,57,45.91,256.11
34,122,21.31,109.35
35,237,35.64,341.24
35,286,50.51,351.18
35,8,50.38,220.76
35,214,72.84,455.43
35,129,93.66,382.17
36,258,26.67,216.93
36,73,15.98,121.1
37,282,80.8,383.78
37,292,31.73,184.13
37,54,14.04,82.72
37,119,68.07,342.11
37,131,50.64,274.67
38,156,29.07,231.15
38,112,28.45,135.83
39,61,102.67,487.06
39,280,38.82,166.66
39,289,20.29,154.6
40,4,34.61,334.77
40,1,45.52,195.5
40,272,6.64,78.1
40,244,53.96,331.57
40,108,59.88,313.41
40,260,69.04,439.14
41,238,110.92,462.89
41,14,72.54,482.56
42,130,17.41,201.33
42,94,33.93,137.7
42,7,44.88,223.19
42,278,63.24,454.79
43,14,48.96,201.35
43,193,57.5,285.16
43,307,6.47,46.98
43,47,24.0,250.5
43,190,25.9,107.95
44,107,65.29,368.7
44,313,120.74,497.69
45,90,44.58,347.15
45,312,6.45,49.01
45,77,5.67,46.14
46,287,31.5,186.36
46,180,6.17,64.84
46,212,70.43,350.43
46,176,88.94,490.09
46,142,54.01,379.12
46,152,47.66,261.06
47,78,73.11,453.91
47,240,89.33,440.34
47,296,36.86,321.66
48,45,4.12,28.84
48,302,7.65,68.64
48,306,45.14,298.03
48,291,11.31,45.43
48,110,5.8,29.33
49,108,15.36,71.22
49,263,37.36,321.52
49,176,54.38,220.64
49,212,14.58,78.04
49,313,19.19,135.08
50,37,10.86,133.57
50,175,73.28,458.87
50,252,65.21,344.91
50,274,48.96,214.7
50,295,8.63,73.11
51,149,8.77,87.8
51,179,3.19,13.31
51,200,39.47,179.15
51,60,52.75,343.82
51,262,30.35,279.59
52,27,5.87,72.74
52,248,16.93,161.93
52,215,1.67,11.24
52,32,62.52,461.14
53,164,65.42,285.45
53,70,3.08,21.33
54,115,29.8,152.72
54,291,24.78,227.92
54,311,42.39,433.45
54,37,61.03,338.38
54,47,1.01,10.8
