node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,BUF_2_D06_00000,Buffer,6,,2,0.014544,,2,0.829,0.0953,0
1,BUF_16_D03_00001,Buffer,3,,4,0.088323,6,16,4.778,0.473,0
2,LOG_2_D04_00002,Logic,4,6,1,0.015986,16,2,0.904,0.2483,0
3,BUF_4_D05_00003,Buffer,5,8,4,0.107218,29,4,1.204,0.117,0
4,LOG_4_D02_00004,Logic,,1,,0.146495,25,,1.425,0.2199,0
5,BUF_4_D06_00005,Buffer,6,1,4,0.040863,24,4,1.345,0.2251,0
6,LOG_8_D06_00006,Logic,6,7,3,0.113702,38,8,2.994,0.3238,0
7,BUF_1_D06_00007,Buffer,6,5,4,0.084426,5,,0.479,0.4708,0
8,REG_1_D04_00008,Register,4,1,3,0.137334,,1,0.581,0.1259,0
9,BUF_1_D07_00009,Buffer,7,2,2,0.115007,28,1,0.532,0.104,0
10,LOG_2_D01_00010,Logic,1,6,2,0.107714,29,2,0.714,0.4973,0
11,LOG_16_D06_00011,Logic,6,4,3,0.11606,27,16,5.093,0.1992,0
12,BUF_8_D02_00012,Buffer,2,8,4,0.084268,,8,2.27,0.3161,0
13,BUF_1_D07_00013,Buffer,7,3,1,0.140656,13,1,0.608,0.2444,0
14,LOG_16_D02_00014,Logic,2,4,3,0.020425,373,16,3.357,17.1414,0
15,LOG_2_D08_00015,Logic,8,13,4,-0.013508,34,2,0.732,0.6813,1
16,LOG_2_D08_00016,Logic,8,,2,-0.065656,25,2,0.875,0.9415,1
17,PRT_4_D08_00017,Port,8,1,2,0.053732,13,4,0.974,0.461,0
18,LOG_1_D01_00018,Logic,1,3,2,0.027759,28,1,0.45,0.4432,0
19,LOG_4_D05_00019,Logic,5,4,4,0.078173,42,4,1.16,0.1796,0
20,REG_1_D12_00020,Register,12,9,3,-0.073746,465,1,0.466,0.9184,1
21,REG_4_D03_00021,Register,3,4,1,0.114449,23,4,1.211,0.3507,0
22,PRT_1_D05_00022,Port,5,2,1,0.113635,29,1,0.457,0.2018,0
23,BUF_16_D04_00023,Buffer,4,5,4,0.140885,37,16,5.393,0.226,0
24,LOG_4_D05_00024,Logic,5,5,1,0.061639,14,4,1.582,,0
25,REG_8_D01_00025,Register,1,3,3,0.048844,,8,,0.3213,0
26,BUF_4_D06_00026,Buffer,6,6,3,0.089344,32,4,1.225,0.4305,0
27,LOG_1_D10_00027,Logic,10,9,5,-0.03634,40,1,188.798,0.9497,1
28,LOG_4_D03_00028,Logic,3,6,,0.11099,14,4,,0.4795,0
29,REG_2_D06_00029,Register,6,8,4,,14,2,0.831,0.2752,0
30,BUF_16_D08_00030,Buffer,8,6,4,0.08608,24,16,4.229,0.1759,0
31,BUF_16_D06_00031,Buffer,6,7,1,0.08772,12,16,5.548,0.3996,0
32,LOG_8_D07_00032,Logic,7,8,4,0.144244,38,8,2.701,0.0747,0
33,REG_2_D12_00033,Register,12,7,2,-0.030619,50,2,0.909,0.5586,1
34,LOG_4_D02_00034,Logic,2,8,3,0.062388,32,4,1.062,0.1297,0
35,BUF_2_D08_00035,Buffer,8,9,1,-0.060897,57,2,0.905,0.8759,1
36,REG_16_D03_00036,Buffer,3,8,4,0.134061,6,16,4.197,0.4001,0
37,LOG_2_D07_00037,Logic,7,6,1,0.05433,8,2,0.925,0.1388,0
38,PRT_8_D12_00038,Port,12,6,4,-0.03985,35,8,2.17,0.4692,1
39,LOG_1_D08_00039,Logic,,11,2,-0.063404,50,1,0.537,0.4633,1
40,LOG_4_D06_00040,Logic,6,,1,0.124616,,4,1.671,0.4625,0
41,REG_8_D05_00041,Register,5,5,4,0.013703,36,8,1.718,0.3928,0
42,LOG_16_D04_00042,Logic,4,7,4,0.0586,12,16,3.695,0.0609,0
43,PRT_16_D05_00043,Port,5,2,1,0.100808,7,16,5.444,0.0837,0
44,BUF_16_D02_00044,Buffer,2,8,4,0.079749,10,16,5.781,0.1453,0
45,LOG_1_D04_00045,Buffer,,2,1,,8,1,0.464,0.058,0
46,PRT_2_D07_00046,Buffer,,8,2,0.056934,28,2,0.611,0.0748,0
47,LOG_4_D09_00047,Logic,9,6,1,-0.000127,27,4,1.024,0.5981,1
48,BUF_8_D03_00048,Buffer,3,7,3,0.034509,16,8,2.547,0.3416,0
49,BUF_2_D07_00049,Buffer,7,7,3,0.141096,21,2,0.914,0.1334,0
50,LOG_16_D07_00050,Logic,7,3,2,0.129545,13,16,2.953,0.238,0
51,BUF_2_D07_00051,Buffer,7,6,2,0.01262,400,2,,0.1382,0
52,REG_1_D06_00052,Register,6,6,1,0.125515,22,1,0.538,0.1433,0
53,LOG_4_D01_00053,Logic,1,8,3,0.050772,41,4,0.939,0.4751,0
54,BUF_1_D12_00054,Buffer,12,6,3,0.000202,45,1,0.566,0.9125,1
55,REG_8_D06_00055,Register,6,2,4,0.066741,20,8,2.82,0.1927,0
56,LOG_1_D11_00056,Logic,11,6,5,-0.016483,32,,0.55,0.6117,1
57,BUF_8_D01_00057,Buffer,1,7,1,0.089838,21,8,2.056,0.1367,0
58,REG_2_D12_00058,Register,12,12,5,-0.001202,48,2,0.937,0.8229,1
59,LOG_8_D10_00059,Logic,10,9,3,-0.065597,60,8,1.883,0.5966,1
60,LOG_1_D03_00060,Logic,3,5,1,0.062183,40,1,0.488,0.1128,0
61,BUF_2_D04_00061,Buffer,4,7,3,0.145102,25,2,0.779,0.2051,0
62,PRT_4_D02_00062,Port,2,4,3,0.1118,18,4,1.692,0.0946,0
63,LOG_8_D03_00063,Logic,3,4,4,0.11919,491,,1.737,0.14,0
64,LOG_2_D04_00064,Logic,4,1,3,0.026177,33,,0.852,0.2478,0
65,PRT_2_D03_00065,Port,3,5,2,0.084496,6,2,0.928,0.0793,0
66,REG_1_D07_00066,Register,7,8,3,0.050462,14,1,0.479,0.2639,0
67,LOG_4_D04_00067,Logic,4,7,2,0.042174,,4,1.535,0.4106,0
68,BUF_1_D08_00068,Buffer,8,6,1,0.018665,17,1,0.607,0.0637,0
69,PRT_1_D11_00069,Port,,151,1,-0.041819,45,1,0.581,0.5924,1
70,LOG_8_D01_00070,Logic,1,4,3,0.078627,29,8,2.255,0.4019,0
71,BUF_8_D08_00071,Buffer,8,3,3,0.148171,30,8,1.624,0.0603,0
72,LOG_8_D07_00072,Logic,7,8,4,0.129387,43,8,2.777,0.2798,0
73,BUF_16_D08_00073,Buffer,8,5,3,0.054287,10,16,5.175,0.0721,0
74,LOG_2_D08_00074,Logic,8,4,4,0.023879,30,2,0.922,0.0958,0
75,LOG_2_D07_00075,Logic,7,181,4,0.137888,31,2,0.899,0.1706,0
76,LOG_8_D04_00076,Logic,4,8,4,0.096512,35,8,1.896,0.0723,0
77,LOG_1_D12_00077,Logic,12,7,5,-0.035756,35,1,0.523,0.582,1
78,BUF_2_D06_00078,Buffer,6,6,1,-0.050742,34,2,0.963,0.6386,1
79,LOG_1_D08_00079,Logic,8,5,5,-0.002891,57,1,0.628,0.5934,1
80,REG_8_D08_00080,Register,8,7,1,0.095854,45,8,2.756,0.1222,0
81,LOG_8_D06_00081,Logic,6,3,,0.125143,29,8,2.484,0.0975,0
82,LOG_1_D06_00082,Logic,,3,4,0.035705,,1,0.57,0.4949,0
83,LOG_2_D08_00083,Logic,8,5,2,0.024507,7,,0.8,0.0767,0
84,BUF_2_D03_00084,Buffer,3,5,1,0.032386,44,2,0.888,0.497,0
85,LOG_1_D05_00085,Logic,5,4,3,0.146099,36,1,0.541,0.388,0
86,REG_1_D04_00086,Buffer,4,8,1,0.005913,37,1,0.461,0.157,0
87,LOG_8_D08_00087,Logic,8,,2,0.042487,37,8,,0.2723,0
88,LOG_1_D05_00088,Logic,5,,2,0.11248,40,1,0.49,0.2039,0
89,LOG_2_D02_00089,Logic,2,8,4,0.106308,11,,0.931,0.15,0
90,LOG_4_D02_00090,Logic,2,5,2,0.021558,28,4,1.034,0.4866,0
91,REG_8_D06_00091,Register,6,,3,0.074033,22,8,2.113,0.2978,0
92,BUF_4_D05_00092,Buffer,5,165,4,0.074646,5,4,1.154,0.1058,0
93,LOG_1_D05_00093,Logic,5,3,2,0.139479,26,1,0.647,0.2566,0
94,LOG_1_D11_00094,Logic,11,7,2,-0.007823,28,1,0.612,0.7255,1
95,REG_2_D04_00095,Register,4,5,4,0.051457,13,2,0.827,0.0803,0
96,PRT_16_D01_00096,Port,1,8,3,0.078825,9,16,5.83,0.4294,0
97,BUF_4_D05_00097,Buffer,5,4,3,0.039197,15,4,1.183,0.4574,0
98,BUF_2_D03_00098,Buffer,3,4,4,0.115303,7,2,0.889,0.1111,0
99,REG_16_D03_00099,Register,,3,2,0.08139,31,16,5.809,0.3324,0
100,LOG_2_D04_00100,Logic,4,6,1,0.061829,45,2,0.912,0.4515,0
101,REG_8_D01_00101,Register,1,2,1,0.013321,15,8,2.752,,0
102,LOG_16_D07_00102,Logic,7,5,3,0.057567,39,16,2.717,0.2355,0
103,LOG_8_D05_00103,Logic,5,6,4,0.100298,23,8,2.824,0.1575,0
104,PRT_16_D12_00104,Port,12,6,2,-0.02251,47,16,3.325,,1
105,PRT_16_D01_00105,Port,1,4,1,0.073103,12,16,2.959,0.1907,0
106,BUF_2_D05_00106,Buffer,5,3,2,0.059848,36,2,0.894,0.4001,0
107,LOG_16_D03_00107,Logic,3,,1,0.011769,13,16,3.724,0.2473,0
108,LOG_2_D06_00108,Logic,6,4,3,0.018345,38,2,0.716,0.1349,0
109,BUF_16_D03_00109,Buffer,3,7,,0.119867,44,16,5.346,0.0569,0
110,LOG_4_D05_00110,Logic,5,4,2,0.131035,25,4,1.274,0.2206,0
111,LOG_2_D03_00111,Logic,3,6,4,0.054948,256,2,0.829,0.3391,0
112,LOG_8_D04_00112,Logic,4,1,4,0.068273,9,,1.902,0.2025,0
