src_id,dst_id,wire_cap_ff,wire_length_um,routing_layer,resistance_ohm,coupling_cap_ff
224,119,0.75,32.4,M5,21.93,0.528
80,11,4.89,50.4,M3,37.52,1.853
72,231,4.4,61.7,M3,26.09,0.877
42,80,3.71,49.6,M2,28.01,1.846
162,204,2.26,19.7,M1,11.88,0.081
66,41,3.56,44.2,M4,2.52,0.719
181,143,2.48,49.8,M2,6.62,0.196
222,72,0.99,17.7,M5,41.22,1.131
169,149,1.14,99.8,M1,26.54,1.146
106,235,0.48,77.1,M1,44.42,0.062
174,31,2.03,59.4,M1,41.93,0.316
20,117,4.17,66.3,M4,31.6,0.546
168,1,1.71,5.3,M5,47.57,0.657
187,232,4.79,57.3,M2,43.23,1.605
72,82,4.01,74.6,M5,47.62,0.769
102,65,0.97,96.5,M4,4.91,1.706
41,99,3.92,29.2,M2,6.47,0.987
110,188,4.05,31.7,M5,7.0,1.334
213,94,2.61,49.5,M4,24.08,1.13
108,23,3.81,81.3,M5,9.72,1.265
23,10,2.62,97.4,M2,32.56,1.43
238,126,2.68,65.1,M1,14.89,0.88
232,205,2.44,15.7,M2,34.37,0.608
63,133,2.2,57.3,M5,4.29,0.1
27,130,2.18,10.4,M5,40.73,0.717
149,20,3.87,2.6,M4,9.39,0.373
100,11,0.51,87.8,M3,16.04,1.451
193,171,2.3,81.0,M3,48.35,1.744
47,54,1.01,75.0,M5,13.34,1.35
111,136,0.19,40.1,M1,9.0,0.959
177,103,4.36,96.6,M5,36.43,0.613
208,249,3.12,69.4,M4,40.33,0.184
34,3,1.03,81.8,M2,43.02,0.426
166,37,3.28,44.1,M5,9.95,0.609
118,37,2.42,3.2,M2,45.17,1.48
113,246,2.48,2.9,M4,29.47,0.411
145,212,4.19,6.0,M1,5.58,1.697
110,106,4.26,74.0,M5,36.69,1.998
9,124,2.06,51.8,M5,46.8,1.811
222,124,1.24,7.0,M1,21.39,0.639
16,68,4.48,42.3,M4,6.29,1.249
165,88,2.3,44.2,M2,14.76,0.392
88,112,1.24,22.8,M3,46.13,1.708
183,168,2.4,88.4,M4,48.01,1.668
172,167,3.7,79.8,M2,31.28,0.572
191,22,3.37,13.8,M2,8.24,0.989
203,106,4.72,49.9,M2,10.87,0.104
4,91,4.42,36.3,M2,9.15,1.72
128,8,4.05,34.4,M1,31.07,0.25
57,124,1.36,34.7,M3,38.58,1.542
142,68,4.49,85.5,M5,30.41,0.217
12,237,4.74,80.1,M1,48.75,1.565
156,200,4.31,11.1,M5,2.58,0.22
161,30,4.37,91.2,M2,36.55,1.419
