node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,cell_0,Port,2,2,1,0.984,17.0,4.1,2.13,0.087,0
1,cell_1,Register,8,4,4,0.769,14.5,4.0,4.39,0.512,0
2,cell_2,Logic,2,5,1,0.419,16.3,3.9,2.13,0.194,0
3,cell_3,Port,8,3,1,0.233,12.1,3.4,0.99,0.318,0
4,cell_4,Buffer,5,1,1,-0.146,2.8,1.8,4.19,0.605,1
5,cell_5,Port,8,1,2,0.284,14.3,2.3,4.85,0.943,0
6,cell_6,Port,8,7,3,0.437,22.1,3.8,2.38,0.908,0
7,cell_7,Logic,4,1,1,0.204,19.6,1.7,1.6,0.361,0
8,cell_8,Buffer,4,1,2,0.461,19.8,3.2,2.85,0.148,0
9,cell_9,Register,3,1,6,0.523,21.2,3.7,2.92,0.854,0
10,cell_10,Buffer,5,1,1,0.433,15.4,4.3,4.95,0.37,0
11,cell_11,Buffer,6,2,1,0.305,16.0,1.0,1.22,0.373,0
12,cell_12,Buffer,7,8,1,0.551,11.9,1.4,5.14,0.285,0
13,cell_13,Buffer,3,1,3,0.633,13.4,1.4,2.77,0.351,0
14,cell_14,Logic,6,1,1,0.173,18.1,2.8,2.44,0.978,1
15,cell_15,Port,6,1,2,0.923,21.0,1.9,1.18,0.874,0
16,cell_16,Register,8,6,3,0.47,14.3,2.1,4.1,0.088,0
17,cell_17,Register,8,3,1,0.506,12.7,1.8,3.66,0.728,0
18,cell_18,Port,1,1,4,0.712,15.0,1.1,5.38,0.444,0
19,cell_19,Register,2,5,1,0.57,18.0,1.4,1.51,0.993,0
20,cell_20,Buffer,8,5,1,0.786,7.8,4.8,1.14,0.804,0
21,cell_21,Logic,2,5,2,0.586,3.5,3.6,3.96,0.289,0
22,cell_22,Buffer,6,7,3,0.316,12.2,4.3,0.8,0.806,0
23,cell_23,Buffer,8,1,1,0.608,8.9,4.8,1.18,0.97,0
24,cell_24,Logic,8,4,3,0.157,12.5,3.6,4.76,0.424,1
25,cell_25,Register,3,1,4,0.533,14.3,3.8,2.79,0.896,0
26,cell_26,Logic,5,5,1,0.49,12.7,1.5,1.36,0.14,0
27,cell_27,Port,6,3,8,0.438,22.3,4.4,2.22,0.587,0
28,cell_28,Port,3,4,1,0.461,16.6,1.5,4.93,0.086,0
29,cell_29,Port,2,3,1,-0.065,16.5,3.6,3.52,0.208,1
30,cell_30,Logic,7,1,1,0.335,18.1,4.6,4.45,0.475,0
31,cell_31,Port,2,2,4,0.528,9.3,3.3,3.69,0.868,0
32,cell_32,Buffer,6,12,2,0.548,20.2,4.9,3.56,0.987,0
33,cell_33,Buffer,2,8,1,0.192,14.6,4.6,1.35,0.066,1
34,cell_34,Port,5,1,1,0.88,18.4,3.8,5.35,0.96,0
35,cell_35,Port,8,1,1,0.24,9.6,2.0,4.78,0.756,0
36,cell_36,Port,7,1,1,0.791,7.2,2.9,0.93,0.088,0
37,cell_37,Port,7,3,4,0.628,19.1,4.7,4.78,0.409,0
38,cell_38,Logic,4,5,3,0.306,16.9,3.6,2.95,0.914,0
39,cell_39,Logic,4,1,1,1.033,10.5,4.7,5.48,0.415,0
40,cell_40,Buffer,3,2,6,0.142,10.7,2.1,3.46,0.556,1
41,cell_41,Register,8,5,1,0.776,20.6,2.7,4.68,0.71,0
