node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,cell_0,Register,6,1,3,0.672,14.1,4.5,1.46,0.831,0
1,cell_1,Buffer,8,1,1,-0.036,18.3,4.4,4.28,0.706,1
2,cell_2,Logic,8,3,1,0.392,15.5,4.8,1.16,0.763,0
3,cell_3,Logic,2,3,9,0.59,21.5,4.8,0.77,0.096,0
4,cell_4,Port,2,3,2,0.555,11.4,4.3,4.03,0.129,0
5,cell_5,Logic,7,1,1,1.308,18.7,3.8,1.39,0.763,0
6,cell_6,Register,2,1,2,0.605,14.0,4.4,1.2,0.134,0
7,cell_7,Register,7,3,1,0.199,14.7,3.2,2.08,0.773,1
8,cell_8,Logic,3,1,1,0.471,15.5,3.0,1.63,0.898,0
9,cell_9,Logic,1,1,1,-0.033,16.3,4.2,1.44,0.82,1
10,cell_10,Buffer,3,4,5,0.476,14.4,3.7,4.92,0.73,0
11,cell_11,Register,2,4,5,0.25,16.1,3.2,1.39,0.425,0
12,cell_12,Buffer,3,2,1,0.775,22.9,2.7,1.97,0.394,0
13,cell_13,Buffer,4,1,1,0.335,19.9,2.4,3.99,0.072,0
14,cell_14,Port,8,4,1,0.465,19.3,1.1,1.82,0.488,0
15,cell_15,Buffer,2,2,10,0.309,12.7,2.5,2.95,0.74,0
16,cell_16,Register,1,4,7,1.022,10.6,2.9,3.39,0.586,0
17,cell_17,Buffer,7,4,2,0.404,19.8,3.7,2.24,0.222,0
18,cell_18,Register,8,4,3,1.05,19.4,3.9,3.71,0.609,0
19,cell_19,Register,3,2,2,0.744,22.4,1.9,2.75,0.768,0
20,cell_20,Port,8,1,1,0.645,12.0,3.2,3.66,0.369,0
21,cell_21,Buffer,3,3,1,0.611,13.9,5.0,4.66,0.34,0
22,cell_22,Buffer,7,2,1,0.618,6.8,4.8,0.68,0.823,0
23,cell_23,Logic,7,4,2,-0.078,13.0,2.5,4.67,0.611,1
24,cell_24,Logic,1,1,2,0.416,20.0,1.7,2.43,0.752,0
25,cell_25,Logic,5,1,1,0.754,12.7,4.0,3.19,0.915,0
26,cell_26,Logic,2,6,5,0.485,18.2,1.0,1.55,0.646,0
27,cell_27,Port,7,4,1,0.078,14.0,2.8,4.01,0.138,1
28,cell_28,Port,5,7,1,0.484,16.6,3.1,2.23,0.188,0
29,cell_29,Logic,5,4,2,1.011,9.3,1.0,4.55,0.211,0
30,cell_30,Buffer,6,2,2,0.874,15.4,2.2,4.48,0.435,0
31,cell_31,Register,6,3,2,0.481,0.0,1.4,1.54,0.34,0
32,cell_32,Register,3,6,1,0.785,14.1,2.5,4.0,0.654,0
33,cell_33,Logic,3,2,1,0.39,6.8,2.0,3.02,0.426,0
34,cell_34,Buffer,5,3,2,-0.011,21.0,4.7,4.65,0.285,1
35,cell_35,Buffer,4,1,1,0.223,18.9,3.4,4.47,0.387,0
36,cell_36,Logic,6,1,1,0.969,17.3,1.1,0.95,0.821,0
37,cell_37,Register,5,3,2,0.418,22.6,2.1,4.37,0.035,0
38,cell_38,Logic,8,1,1,0.427,10.3,2.9,1.79,0.959,0
39,cell_39,Port,8,1,2,0.41,23.7,1.2,2.84,0.422,0
40,cell_40,Port,4,1,3,1.071,19.7,3.8,0.66,0.164,0
41,cell_41,Buffer,6,1,1,0.988,13.8,2.0,1.08,0.682,0
42,cell_42,Register,3,1,1,1.166,20.7,3.5,3.79,0.834,0
43,cell_43,Logic,3,1,3,0.452,9.5,4.9,1.43,0.465,0
44,cell_44,Logic,8,7,1,0.589,10.9,4.3,1.2,0.083,0
45,cell_45,Logic,1,2,2,0.045,12.0,4.5,3.43,0.686,1
46,cell_46,Port,6,1,3,0.943,12.4,4.7,2.36,0.101,0
47,cell_47,Logic,7,1,3,0.15,9.7,5.0,2.39,0.862,1
48,cell_48,Logic,3,3,6,0.565,21.1,3.5,3.44,0.804,0
49,cell_49,Buffer,3,1,1,0.171,13.7,3.0,0.67,0.012,1
50,cell_50,Logic,8,5,1,0.323,16.8,2.9,4.01,0.319,0
51,cell_51,Port,2,3,1,0.249,12.1,4.5,3.65,0.575,0
52,cell_52,Buffer,1,4,1,0.318,5.9,4.0,4.85,0.384,0
53,cell_53,Register,5,1,1,0.338,16.4,4.2,0.54,0.455,0
54,cell_54,Register,4,3,1,0.336,5.4,1.2,2.61,0.486,0
55,cell_55,Port,4,1,5,0.75,14.7,1.1,2.17,0.96,0
56,cell_56,Logic,2,8,1,0.169,8.2,4.6,3.74,0.402,1
57,cell_57,Register,8,3,1,0.566,24.9,1.6,1.0,0.771,0
58,cell_58,Register,6,1,1,0.865,19.6,3.9,5.07,0.303,0
59,cell_59,Port,2,1,1,0.346,15.5,4.5,2.03,0.259,0
60,cell_60,Buffer,1,1,1,0.285,21.3,1.5,2.83,0.634,0
61,cell_61,Logic,8,3,1,0.431,10.8,2.7,1.43,0.604,0
62,cell_62,Register,3,1,1,0.854,17.7,4.4,0.61,0.802,0
63,cell_63,Port,2,2,1,0.558,16.0,1.2,4.55,0.45,0
64,cell_64,Port,6,1,4,0.341,16.3,3.5,2.78,0.373,0
65,cell_65,Register,4,3,4,0.645,21.4,1.2,3.38,0.474,0
66,cell_66,Port,6,5,2,0.169,18.7,1.4,2.67,0.335,1
67,cell_67,Logic,1,4,1,0.704,16.4,3.2,2.5,0.535,0
68,cell_68,Buffer,4,4,3,0.623,6.7,4.9,4.67,0.365,0
69,cell_69,Port,5,1,4,0.408,10.2,1.8,1.76,0.785,0
