src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,53,32.91,390.48,0
0,74,76.89,309.87,0
0,85,46.16,234.39,0
0,42,68.34,488.73,0
0,50,6.29,31.32,0
0,63,19.29,83.14,0
1,67,75.95,461.78,0
1,44,85.59,449.42,0
2,59,20.99,147.62,0
2,16,98.91,450.59,0
2,34,60.12,254.52,0
3,50,25.77,234.36,0
3,80,53.86,449.39,0
3,1,32.15,144.75,0
4,41,5.49,35.42,0
4,45,9.68,41.53,0
4,26,6.46,26.16,0
4,38,7.15,36.73,0
4,90,75.56,365.75,0
4,35,96.26,475.18,0
5,35,47.9,458.64,0
5,73,20.77,101.61,0
5,67,49.77,203.86,0
6,90,56.84,471.29,0
6,11,85.19,437.62,1
7,46,36.25,222.95,0
7,69,5.91,56.71,0
7,8,101.06,476.8,0
7,81,27.57,187.57,0
8,69,95.93,410.86,0
8,7,18.97,213.4,0
8,19,36.82,209.44,0
9,3,3.68,29.35,0
9,20,28.86,228.99,0
9,22,43.1,185.94,0
9,70,42.57,378.08,0
9,56,87.48,407.2,0
10,66,27.19,262.86,0
10,75,34.02,173.07,0
10,19,26.42,273.99,0
11,44,45.32,255.19,1
11,32,2.64,13.76,0
11,12,53.37,217.6,0
11,29,1.79,20.89,0
12,36,23.26,146.61,0
12,11,30.65,345.9,0
13,36,64.43,283.14,0
13,56,61.16,297.96,0
13,64,35.69,143.34,0
14,39,99.85,453.32,0
14,52,60.94,316.98,0
15,48,35.61,351.25,0
15,64,12.62,125.28,0
15,74,97.22,436.56,0
15,3,59.82,422.54,0
15,6,89.37,471.63,0
15,66,1.23,6.34,0
16,78,88.51,401.38,0
16,30,25.44,296.75,0
16,48,63.16,301.77,0
16,33,30.15,234.14,0
16,44,70.92,284.92,1
16,29,25.61,127.9,0
17,4,49.17,466.97,0
17,28,48.85,455.14,0
17,45,29.42,290.91,0
17,19,43.38,414.66,0
17,47,39.16,358.83,0
17,23,81.79,441.72,0
18,12,58.83,384.44,0
18,87,51.01,427.88,0
18,20,25.89,210.0,0
18,32,73.11,351.19,0
18,19,6.68,40.34,0
19,68,2.29,15.22,0
19,17,38.36,163.96,0
19,64,103.71,454.12,0
20,51,39.78,444.65,0
20,42,70.34,357.37,0
20,1,6.36,28.96,0
20,21,83.02,427.91,0
20,73,25.81,158.03,0
21,33,20.91,147.26,0
21,4,39.24,479.63,0
21,91,52.57,405.45,0
21,90,22.73,108.4,0
22,57,16.31,69.57,0
22,35,58.01,233.85,0
23,2,51.56,341.18,0
23,90,44.29,345.42,0
24,61,104.1,496.93,0
24,54,87.78,404.45,0
25,11,27.19,225.27,0
25,85,12.29,53.59,0
25,32,32.31,214.1,0
25,80,46.18,208.85,0
25,49,50.89,492.58,0
25,33,13.26,126.32,0
26,77,77.42,339.45,0
26,21,34.51,317.72,0
26,78,67.98,444.6,0
27,61,104.14,423.23,0
27,0,59.95,439.05,0
27,82,47.31,307.76,0
27,71,94.88,396.55,0
27,73,39.25,164.79,0
27,78,54.46,470.16,0
28,60,27.83,255.71,0
28,84,42.79,314.96,0
28,2,1.07,6.73,0
28,70,99.12,436.99,0
28,27,30.56,356.01,0
28,45,120.7,492.4,0
29,47,44.19,205.76,0
29,30,4.16,19.74,0
29,6,24.2,120.04,0
30,45,7.11,86.03,0
30,34,15.8,160.63,0
30,53,48.97,274.82,0
31,53,112.75,468.85,0
31,65,31.04,282.81,0
31,91,2.35,19.3,0
31,0,44.88,260.51,0
31,76,37.52,183.57,0
32,41,70.54,284.94,0
32,45,57.25,269.24,0
32,2,29.95,346.86,0
32,25,43.11,389.64,0
33,63,110.17,453.53,0
33,4,7.95,35.11,0
33,27,97.6,443.77,0
34,33,72.65,436.6,0
34,79,84.5,381.33,0
34,68,63.9,431.04,0
35,85,105.06,470.1,0
35,21,4.47,25.27,0
36,5,22.73,164.21,0
36,26,17.75,72.93,0
37,42,12.37,54.33,0
37,0,90.64,471.02,0
38,29,60.63,280.37,0
38,44,95.78,452.44,1
39,34,36.26,251.77,0
39,76,72.92,313.84,0
40,62,2.35,25.53,0
40,0,67.13,419.66,0
40,55,11.22,52.34,0
41,75,2.88,17.92,0
41,27,4.39,45.29,0
41,20,9.5,78.77,0
41,48,16.18,187.06,0
42,66,11.48,143.09,0
42,22,35.09,167.23,0
42,36,49.18,207.7,0
42,89,65.05,350.38,0
42,77,69.82,476.25,0
43,36,17.25,70.53,0
43,41,55.55,476.73,0
43,8,38.02,281.96,0
43,15,83.47,360.88,0
43,2,13.74,96.51,0
44,53,70.31,418.02,0
44,66,70.81,425.01,0
44,17,41.3,439.96,0
44,9,14.99,112.07,0
44,61,31.8,177.99,0
44,27,48.33,250.65,0
45,69,18.86,172.91,0
45,44,59.88,433.65,0
45,82,0.56,6.25,0
45,47,52.1,382.53,0
45,28,10.94,104.64,0
46,50,31.75,190.81,0
46,49,71.36,389.35,0
46,79,87.58,492.91,0
46,76,29.57,269.39,0
46,88,21.28,114.66,0
46,83,0.66,6.33,0
47,16,32.53,222.16,0
47,75,8.61,36.37,0
48,6,44.92,485.29,0
48,90,68.45,392.95,0
48,82,7.35,66.31,0
48,75,31.63,364.83,0
48,29,101.05,491.97,0
49,19,62.9,485.93,0
49,33,37.86,380.04,0
49,82,46.36,415.03,0
49,65,29.02,179.75,0
49,89,67.36,448.07,0
50,89,90.52,387.82,0
50,77,57.38,315.58,0
50,57,32.41,375.01,0
50,55,27.57,124.79,0
51,59,73.35,326.49,1
51,22,52.68,279.59,0
51,33,17.09,201.02,0
51,43,30.16,158.1,0
51,64,48.19,203.23,1
52,67,6.6,44.19,0
52,25,37.59,177.87,0
52,80,39.49,448.89,0
53,6,21.58,104.33,0
53,0,4.54,50.7,0
53,13,59.79,489.98,0
54,78,67.71,278.28,0
54,55,46.68,229.79,0
54,13,97.14,488.39,0
55,77,9.55,60.04,0
55,46,15.73,72.92,0
55,4,25.03,198.19,0
55,7,9.31,92.87,0
56,39,11.0,46.41,0
56,87,25.69,313.26,0
56,25,73.04,300.7,0
57,10,33.88,271.35,0
57,71,61.56,451.76,0
57,45,25.13,139.15,0
57,47,67.22,472.51,0
57,51,66.14,388.19,1
57,54,30.65,167.97,1
58,50,3.85,46.87,0
58,59,88.57,441.56,0
58,14,27.05,308.79,0
58,70,85.85,351.41,0
58,49,69.81,295.56,0
59,85,50.83,363.95,0
59,0,49.34,366.98,0
59,68,24.47,150.85,0
59,67,64.85,377.93,0
60,43,17.59,83.73,0
60,90,21.86,108.24,0
60,84,100.43,405.37,0
60,26,6.28,34.22,0
60,61,3.46,28.57,0
60,5,85.71,482.49,0
61,9,16.8,87.4,0
61,11,30.22,210.75,0
61,50,27.13,155.86,0
61,79,14.86,66.85,0
61,60,23.48,107.08,0
61,75,57.44,263.27,0
62,36,72.42,401.91,0
62,23,115.47,463.14,0
62,52,88.96,424.84,0
63,71,6.25,43.47,0
63,13,21.82,191.88,0
63,9,59.28,384.52,0
63,76,95.49,498.71,0
63,74,56.5,232.54,0
64,87,20.42,97.78,1
64,12,47.23,345.06,0
64,39,23.9,111.71,0
64,2,10.01,50.03,0
64,28,22.07,106.7,0
65,80,97.62,498.81,0
65,56,39.36,453.74,0
65,51,45.68,211.11,0
65,43,81.37,341.48,0
65,77,36.85,192.16,0
66,32,11.5,122.72,0
66,73,49.76,250.67,0
66,34,23.83,156.8,0
66,26,2.37,10.36,0
67,85,61.71,332.43,0
67,74,68.85,489.87,0
68,1,88.88,490.17,0
68,3,10.39,124.28,0
68,71,54.63,380.27,0
68,61,50.0,293.08,0
68,58,51.4,379.47,0
68,24,48.48,308.1,0
69,68,97.44,436.06,0
69,33,31.79,183.53,0
69,5,37.48,380.98,0
69,63,29.49,128.59,0
69,37,91.08,366.92,0
70,26,36.83,147.35,0
70,33,25.1,101.47,0
70,28,34.29,229.94,0
70,57,27.73,295.92,0
70,27,78.39,324.05,0
71,46,14.42,98.17,0
71,33,17.83,175.28,0
72,37,61.47,357.7,0
72,86,45.24,351.01,0
72,68,82.86,478.55,0
73,53,29.15,158.51,0
73,44,64.81,442.11,0
73,15,28.32,140.17,0
73,88,11.56,68.02,0
73,19,32.5,165.71,0
73,7,19.26,131.55,0
74,84,73.32,318.38,0
74,59,36.63,203.72,0
74,12,79.38,460.83,0
74,31,12.54,86.65,0
74,47,77.36,452.64,0
74,15,64.96,288.38,0
75,35,68.16,477.55,0
75,19,34.7,142.23,0
75,70,36.65,191.02,0
75,74,72.77,434.52,0
75,22,14.8,74.87,0
76,69,11.19,72.96,0
76,51,32.31,212.69,0
76,72,38.83,312.39,0
76,68,36.4,238.08,0
77,21,49.83,486.31,0
77,63,14.88,136.23,0
77,65,32.85,287.28,0
78,21,92.02,382.25,0
78,71,22.19,189.81,0
78,89,60.45,325.09,0
78,17,50.26,335.99,0
79,88,47.1,491.13,0
79,14,33.6,214.76,0
80,91,36.81,275.0,0
80,61,73.54,346.1,0
80,1,52.6,307.61,0
80,53,80.44,374.69,0
81,24,21.16,87.26,0
81,15,22.32,157.28,0
81,14,28.96,321.64,0
81,50,32.67,175.28,0
81,13,27.6,139.59,0
81,34,33.33,156.23,0
82,74,22.93,279.18,0
82,48,1.64,15.64,0
82,73,40.38,235.89,0
82,70,18.19,101.8,0
83,86,25.61,207.73,0
83,80,13.69,63.47,0
83,37,81.92,389.56,0
83,73,51.25,388.54,0
84,30,30.64,159.27,0
84,57,6.35,56.12,0
84,15,8.39,46.82,0
84,36,81.38,370.38,0
85,63,83.65,498.36,0
85,2,57.57,266.34,0
85,32,47.98,430.0,0
85,83,32.0,158.19,0
86,3,71.3,375.83,0
86,19,84.56,474.12,0
86,11,3.58,24.95,0
86,63,41.04,499.87,0
86,10,14.99,107.57,0
86,21,7.8,32.0,0
87,91,59.32,396.48,1
87,66,8.34,77.05,0
87,29,107.38,475.98,0
87,14,68.22,407.16,1
87,41,46.44,248.45,0
87,44,29.89,239.38,1
88,22,61.0,259.84,0
88,24,69.98,450.92,0
88,7,56.08,337.56,0
88,37,17.92,157.79,0
88,12,62.01,494.78,0
89,44,20.53,147.27,1
89,1,53.97,419.51,0
89,36,70.03,412.18,0
90,14,64.43,258.67,0
90,44,31.33,236.22,0
91,74,6.84,47.79,0
91,46,23.69,246.15,0
91,4,3.83,33.86,0
91,84,109.49,444.5,0
91,47,2.0,17.26,0
