node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,cell_0,Register,2,3,1,0.388,9.2,4.0,0.83,0.349,0
1,cell_1,Register,8,1,1,0.631,20.7,4.8,4.09,0.18,0
2,cell_2,Logic,7,1,1,0.556,16.7,2.3,3.35,0.518,0
3,cell_3,Register,3,1,3,0.628,10.3,1.4,5.24,0.9,0
4,cell_4,Port,8,2,7,0.567,16.1,3.3,4.14,0.498,0
5,cell_5,Logic,5,8,1,0.884,9.9,4.6,4.07,0.604,0
6,cell_6,Buffer,4,3,1,0.214,20.5,3.8,2.95,0.997,0
7,cell_7,Logic,2,1,4,0.297,20.3,3.2,4.02,0.92,0
8,cell_8,Buffer,2,1,5,0.268,17.7,4.0,5.21,0.938,0
9,cell_9,Port,6,2,1,0.749,16.8,3.2,5.43,0.929,0
10,cell_10,Logic,4,1,1,0.77,23.8,2.6,1.58,0.548,0
11,cell_11,Logic,8,5,1,0.635,15.0,3.8,2.76,0.389,0
12,cell_12,Register,7,5,1,0.855,9.1,1.8,3.19,0.448,0
13,cell_13,Buffer,7,2,1,0.147,17.2,1.4,3.87,0.116,1
14,cell_14,Register,1,1,1,1.0,25.4,3.4,2.15,0.554,0
15,cell_15,Register,2,1,1,0.957,9.9,4.5,3.35,0.338,0
16,cell_16,Port,5,1,1,0.721,13.2,2.6,4.88,0.366,0
17,cell_17,Port,5,1,3,1.035,17.1,2.1,5.23,0.239,0
18,cell_18,Logic,5,1,1,0.003,14.7,3.9,1.22,0.818,1
19,cell_19,Buffer,6,3,1,0.343,10.1,3.1,3.2,0.188,0
20,cell_20,Port,7,3,1,0.279,20.6,2.6,3.91,0.404,0
21,cell_21,Buffer,5,1,1,0.716,26.6,4.7,2.07,0.358,0
22,cell_22,Buffer,6,1,7,0.185,16.0,1.4,0.53,0.917,1
23,cell_23,Buffer,2,1,1,0.727,10.5,4.8,3.55,0.921,0
24,cell_24,Logic,1,1,1,0.911,7.3,4.3,4.06,0.811,0
25,cell_25,Buffer,2,5,2,0.709,16.3,4.5,2.29,0.91,0
26,cell_26,Register,8,1,1,0.585,20.5,2.2,1.1,0.708,0
27,cell_27,Buffer,4,1,4,0.204,17.4,3.3,5.39,0.839,0
28,cell_28,Logic,8,1,1,0.246,15.0,1.3,3.57,0.099,0
29,cell_29,Register,4,6,1,0.875,12.1,5.0,3.15,0.52,0
30,cell_30,Buffer,7,2,1,0.734,9.5,2.8,4.15,0.664,0
31,cell_31,Buffer,5,1,1,0.488,19.2,1.2,4.16,0.321,0
32,cell_32,Register,2,2,3,0.375,19.6,3.2,1.74,0.527,0
33,cell_33,Buffer,8,3,3,-0.108,7.3,3.7,3.51,0.575,1
34,cell_34,Logic,7,9,1,0.179,22.9,2.1,4.29,0.532,1
35,cell_35,Buffer,7,1,1,1.073,17.9,3.0,1.4,0.394,0
36,cell_36,Buffer,1,6,3,0.116,22.0,4.3,1.41,0.546,1
37,cell_37,Buffer,2,8,5,0.557,8.3,4.9,3.75,0.201,0
38,cell_38,Port,2,7,1,0.802,8.2,2.0,2.97,0.32,0
39,cell_39,Buffer,2,3,1,0.124,14.3,1.9,1.1,0.448,1
40,cell_40,Register,2,2,1,0.555,17.5,3.6,0.95,0.198,0
41,cell_41,Logic,4,1,4,0.781,24.0,1.9,5.23,0.944,0
42,cell_42,Port,6,4,1,0.504,18.5,1.0,3.37,0.426,0
43,cell_43,Register,7,2,1,1.361,13.8,2.0,5.25,0.435,0
44,cell_44,Port,7,3,2,-0.001,9.9,1.1,2.44,0.082,1
45,cell_45,Port,1,1,1,0.818,21.2,3.4,2.54,0.024,0
46,cell_46,Port,6,3,1,0.448,10.2,4.4,3.98,0.104,0
47,cell_47,Port,8,5,1,0.732,23.1,2.7,1.19,0.561,0
48,cell_48,Register,8,1,1,0.632,13.6,3.2,2.22,0.61,0
49,cell_49,Buffer,1,5,1,0.28,23.0,3.3,0.98,0.306,0
50,cell_50,Register,7,2,1,0.569,18.4,2.6,2.28,0.992,0
51,cell_51,Logic,7,5,1,-0.057,14.3,4.4,4.04,0.771,1
52,cell_52,Logic,1,1,1,0.681,12.4,3.3,4.9,0.771,0
53,cell_53,Register,4,1,3,0.589,13.3,3.5,3.0,0.699,0
54,cell_54,Register,3,7,2,0.692,17.1,4.6,1.42,0.528,0
55,cell_55,Buffer,1,1,1,0.817,15.4,4.9,2.51,0.042,0
56,cell_56,Logic,6,5,1,0.61,12.0,4.0,1.63,0.947,0
57,cell_57,Logic,2,1,1,0.544,14.2,3.8,5.43,0.307,0
58,cell_58,Port,5,2,1,0.236,15.4,4.9,3.67,0.587,0
59,cell_59,Buffer,7,1,1,0.286,4.4,4.2,2.2,0.9,0
60,cell_60,Buffer,1,2,2,0.856,17.3,2.1,4.26,0.543,0
61,cell_61,Port,8,1,1,0.931,10.1,2.5,3.12,0.641,0
62,cell_62,Buffer,5,1,1,0.429,9.2,4.6,0.6,0.739,0
63,cell_63,Buffer,6,1,1,0.514,6.6,4.7,3.53,0.534,0
64,cell_64,Port,6,1,2,0.229,6.0,2.3,5.41,0.047,0
65,cell_65,Buffer,6,11,1,0.852,8.2,2.4,0.8,0.303,0
66,cell_66,Port,4,10,2,0.7,11.5,4.8,2.37,0.188,0
67,cell_67,Port,5,1,1,1.082,24.8,1.5,1.34,0.964,0
68,cell_68,Buffer,8,3,4,0.237,12.4,4.4,5.32,0.052,0
69,cell_69,Buffer,1,1,4,0.387,15.9,4.9,3.15,0.825,0
70,cell_70,Register,6,3,1,0.569,17.0,2.0,0.52,0.874,0
71,cell_71,Logic,8,4,1,0.694,15.7,3.2,2.42,0.739,0
72,cell_72,Buffer,5,8,1,0.435,14.6,1.5,0.64,0.524,0
73,cell_73,Register,3,1,1,0.238,9.0,4.9,5.03,0.178,0
74,cell_74,Buffer,4,4,2,0.764,22.3,4.1,3.32,0.371,0
75,cell_75,Port,6,1,3,0.716,24.0,3.0,4.8,0.699,0
76,cell_76,Logic,7,13,2,0.225,6.6,2.9,5.28,0.911,0
77,cell_77,Buffer,6,1,3,0.907,9.9,2.3,1.44,0.099,0
78,cell_78,Buffer,3,2,1,0.851,13.6,4.2,3.6,0.95,0
79,cell_79,Port,8,3,1,0.54,10.2,3.4,1.41,0.892,0
80,cell_80,Buffer,2,3,2,0.524,17.5,3.9,1.59,0.712,0
81,cell_81,Register,6,1,1,0.666,11.4,3.9,2.23,0.073,0
82,cell_82,Register,6,8,2,0.241,25.8,3.6,4.86,0.204,0
83,cell_83,Logic,4,1,1,0.509,21.0,3.2,5.06,0.207,0
84,cell_84,Logic,6,2,1,-0.146,16.1,4.9,3.5,0.64,1
85,cell_85,Register,5,1,9,0.763,20.1,2.9,3.37,0.016,0
86,cell_86,Logic,2,1,1,0.032,20.5,3.3,4.96,0.922,1
87,cell_87,Port,2,2,8,0.951,12.2,1.2,4.03,0.206,0
88,cell_88,Buffer,7,1,7,0.401,10.9,3.5,4.9,0.689,0
89,cell_89,Port,6,1,3,0.436,15.4,3.0,1.39,0.924,0
90,cell_90,Register,8,1,2,0.312,19.3,2.7,1.24,0.005,0
91,cell_91,Logic,3,1,1,0.414,15.7,4.8,4.59,0.24,0
92,cell_92,Port,7,4,4,0.926,7.1,1.7,0.65,0.814,0
93,cell_93,Buffer,4,6,1,-0.246,11.0,3.2,0.69,0.831,1
94,cell_94,Logic,5,1,1,0.883,14.6,3.2,3.19,0.984,0
95,cell_95,Register,8,1,1,0.601,14.6,1.2,5.29,0.987,0
96,cell_96,Register,6,1,1,0.138,24.9,2.4,5.2,0.827,1
97,cell_97,Logic,6,1,1,0.177,8.1,4.5,4.54,0.372,1
98,cell_98,Port,8,3,1,1.003,17.5,1.6,2.06,0.838,0
99,cell_99,Register,6,2,1,0.216,22.4,3.7,1.96,0.045,0
