src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,4,32.19,383.17,0
0,26,21.41,147.36,0
0,29,92.77,416.96,0
0,21,57.03,482.97,0
0,89,44.68,465.04,0
1,41,65.95,454.91,0
1,45,24.38,126.59,0
1,70,11.79,59.67,0
1,47,31.3,171.21,0
1,49,26.98,169.81,0
1,48,37.87,247.13,0
2,91,19.37,78.27,0
2,73,102.27,436.1,0
2,60,66.04,496.86,0
2,3,40.78,230.65,0
2,23,11.99,63.46,1
3,51,28.09,198.9,0
3,8,33.75,207.44,0
3,49,57.76,476.65,0
3,50,12.24,62.66,0
4,49,7.31,31.06,0
4,88,37.47,151.55,0
5,64,34.1,307.79,0
5,84,12.02,121.47,0
5,20,60.94,405.2,0
6,36,83.13,451.19,0
6,68,33.37,274.39,1
6,23,37.83,323.2,1
6,71,75.22,448.1,0
6,84,34.23,384.44,0
6,32,113.64,495.49,0
7,32,36.51,198.01,0
7,83,9.58,109.61,0
7,39,42.6,441.2,0
8,0,41.11,250.88,0
8,68,41.79,288.29,0
9,73,10.92,50.12,0
9,30,13.2,157.56,0
9,13,23.82,163.9,0
10,78,20.77,229.94,0
10,38,47.24,412.74,0
11,5,46.94,252.95,0
11,89,34.84,321.21,0
12,65,15.35,107.39,0
12,74,34.44,335.56,0
13,85,19.15,197.08,0
13,81,31.28,232.14,0
14,88,54.37,394.62,0
14,65,26.4,190.71,0
15,27,36.37,145.59,0
15,71,39.2,242.69,0
15,91,11.01,71.97,0
16,3,42.81,246.7,0
16,80,85.22,477.49,0
16,71,92.88,384.66,0
16,82,55.95,284.91,0
17,8,88.62,396.87,0
17,9,55.97,314.51,0
17,51,9.72,56.02,1
18,54,8.44,91.59,0
18,36,73.66,295.35,0
18,83,16.63,79.84,0
18,4,8.41,35.22,0
18,44,64.06,299.55,0
19,4,31.24,209.39,0
19,87,36.77,164.6,0
20,8,18.33,152.02,0
20,87,82.94,475.53,0
20,74,25.84,167.22,0
21,44,8.04,79.07,0
21,39,47.21,301.92,0
21,84,53.67,266.49,0
21,56,5.54,41.85,0
22,2,59.06,284.07,1
22,3,4.47,43.83,0
22,82,76.48,408.66,0
22,24,53.92,241.37,0
22,7,24.05,249.2,0
23,73,89.87,456.31,0
23,20,35.88,196.56,0
23,56,33.1,269.72,1
23,54,70.52,484.07,0
23,82,37.6,367.75,0
24,91,40.94,249.13,0
24,70,62.17,482.48,0
25,81,30.91,209.21,0
25,50,73.23,377.84,0
25,74,106.01,446.86,0
25,36,37.24,222.45,0
25,14,5.94,35.48,0
26,48,84.65,367.37,0
26,66,23.06,174.08,0
26,42,93.32,407.8,0
26,59,4.84,49.65,0
27,9,11.88,64.28,0
27,91,30.61,123.96,0
27,60,1.49,18.19,0
28,88,111.17,452.05,0
28,79,52.57,283.76,0
28,45,18.89,106.5,0
28,66,26.2,204.53,0
29,20,91.57,473.01,0
29,83,36.11,412.86,0
29,37,21.11,156.55,0
30,47,69.19,408.45,0
30,4,6.64,62.82,0
30,69,52.57,253.8,0
31,83,15.5,81.27,0
31,6,10.91,80.75,0
32,43,13.25,70.19,0
32,44,105.64,479.98,0
32,22,9.25,65.25,0
32,40,13.4,80.72,0
32,1,109.26,486.35,0
32,78,84.02,458.84,0
33,81,3.53,20.2,0
33,11,39.17,470.75,0
33,68,70.14,321.16,0
33,4,21.04,236.14,0
33,61,60.79,497.18,0
33,44,55.17,328.25,0
34,4,78.8,425.23,0
34,30,88.76,443.88,0
34,78,48.48,362.86,0
34,11,43.09,390.15,0
34,79,12.2,54.42,0
35,84,7.79,94.76,0
35,18,45.68,232.34,0
35,33,112.29,469.89,0
36,51,25.76,156.63,0
36,10,3.36,15.94,0
36,66,46.89,280.08,0
37,35,43.56,393.26,0
37,75,29.79,248.84,0
38,20,85.52,378.42,0
38,1,53.77,435.47,0
38,86,82.27,408.53,0
38,0,24.26,113.41,0
38,43,117.86,484.85,0
39,72,70.86,286.35,0
39,5,1.16,9.39,0
39,24,19.63,145.88,0
39,80,6.53,58.71,0
39,44,46.31,270.96,0
39,35,88.54,418.31,0
40,68,34.31,266.27,0
40,52,70.57,387.22,0
40,17,27.94,194.52,0
40,0,62.33,279.23,0
40,34,42.59,211.47,0
40,3,24.83,143.61,0
41,49,12.1,143.0,0
41,85,44.13,186.13,0
41,63,9.28,84.41,0
41,9,14.4,157.19,0
41,0,82.96,487.57,0
42,41,102.77,435.82,0
42,69,32.44,311.33,0
42,27,40.76,294.45,0
43,90,65.79,354.78,0
43,89,63.74,307.21,0
43,28,57.4,303.02,0
43,54,52.74,490.53,0
43,13,59.44,357.54,0
43,66,41.48,189.21,0
44,14,32.83,295.12,0
44,67,58.18,352.28,0
44,15,47.55,305.44,0
44,47,61.18,499.37,0
45,34,32.0,193.22,0
45,19,54.85,477.37,0
46,40,20.92,134.79,0
46,10,40.58,271.41,0
46,27,27.63,231.57,0
47,45,61.63,355.68,0
47,6,17.04,137.76,0
47,36,70.6,284.69,0
48,8,54.05,499.14,0
48,35,30.35,203.82,0
48,74,102.0,496.06,0
48,44,40.21,305.0,0
48,43,34.28,234.2,0
48,86,23.17,137.98,0
49,15,12.29,54.22,0
49,45,21.19,107.32,0
49,80,8.79,47.0,0
