node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,cell_0,Logic,6,5,1,0.601,9.0,2.3,4.68,0.22,0
1,cell_1,Register,2,1,1,0.432,3.4,3.2,1.62,0.604,0
2,cell_2,Register,6,1,1,0.253,19.3,3.8,5.04,0.752,0
3,cell_3,Register,8,2,3,0.284,10.9,2.8,2.9,0.928,0
4,cell_4,Port,8,5,9,1.115,4.9,3.5,5.25,0.354,0
5,cell_5,Buffer,3,4,1,0.5,15.7,1.4,3.05,0.236,0
6,cell_6,Buffer,6,1,4,0.735,19.0,3.7,2.53,0.023,0
7,cell_7,Register,6,8,3,0.263,14.4,3.4,4.86,0.584,0
8,cell_8,Register,3,1,1,0.266,12.7,3.7,3.68,0.762,0
9,cell_9,Buffer,6,6,1,0.825,14.2,1.1,1.71,0.172,0
10,cell_10,Register,6,10,1,0.095,13.1,3.0,3.11,0.966,1
11,cell_11,Register,7,1,7,0.375,8.3,1.3,2.99,0.383,0
12,cell_12,Port,3,3,1,0.51,11.4,1.7,0.88,0.542,0
13,cell_13,Logic,7,1,3,0.533,17.6,2.1,3.5,0.017,0
14,cell_14,Register,6,1,1,0.446,16.6,3.3,2.59,0.16,0
15,cell_15,Port,8,2,2,0.619,15.8,4.2,3.31,0.571,0
16,cell_16,Logic,6,2,1,0.708,10.0,3.1,4.02,0.614,0
17,cell_17,Port,5,8,1,0.72,14.1,3.9,4.39,0.974,0
18,cell_18,Port,3,3,3,0.204,4.1,2.0,4.36,0.81,0
19,cell_19,Buffer,8,1,3,0.415,15.9,1.5,0.7,0.125,0
20,cell_20,Buffer,7,4,4,0.858,22.1,3.1,1.89,0.246,0
21,cell_21,Logic,6,9,1,0.768,7.6,1.7,1.9,0.406,0
22,cell_22,Logic,7,1,2,0.088,12.1,2.8,3.75,0.242,1
23,cell_23,Port,2,12,1,0.605,16.6,4.4,5.43,0.61,0
24,cell_24,Logic,5,1,1,-0.093,21.3,1.2,2.21,0.892,1
25,cell_25,Buffer,3,5,1,0.514,12.8,3.4,4.68,0.918,0
26,cell_26,Buffer,6,1,1,1.069,11.5,2.7,3.53,0.279,0
27,cell_27,Register,6,1,1,0.216,5.2,3.7,5.1,0.003,0
28,cell_28,Buffer,8,1,11,0.25,15.5,4.9,4.78,0.671,0
29,cell_29,Register,8,3,1,0.729,25.2,1.3,2.85,0.435,0
30,cell_30,Register,3,1,2,0.037,16.4,2.9,2.94,0.861,1
31,cell_31,Port,1,1,1,0.31,14.9,2.0,4.29,0.85,0
32,cell_32,Logic,6,2,1,0.679,16.6,2.5,4.7,0.446,0
33,cell_33,Buffer,3,6,1,0.31,14.9,4.0,3.45,0.232,0
34,cell_34,Register,6,1,5,0.429,10.9,3.6,3.3,0.847,0
35,cell_35,Buffer,3,1,4,0.723,19.1,1.7,3.91,0.409,0
36,cell_36,Logic,3,1,4,0.626,16.1,2.5,3.5,0.444,0
37,cell_37,Register,4,1,9,0.58,15.1,2.2,4.43,0.15,0
38,cell_38,Logic,7,5,1,0.398,10.1,1.9,1.19,0.888,0
39,cell_39,Buffer,2,5,1,0.611,21.5,4.5,2.19,0.851,0
