src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,4,16.86,136.5,0
0,13,37.97,330.32,0
0,5,37.26,312.61,0
1,7,48.99,233.03,0
1,10,111.43,462.36,0
1,11,6.32,60.2,0
2,18,79.52,462.93,0
2,16,56.02,416.59,0
3,6,48.51,396.45,0
3,1,26.9,185.92,0
3,5,59.1,247.65,0
3,12,78.17,403.31,0
3,15,39.22,166.76,0
4,8,11.71,52.14,0
5,18,38.73,335.64,0
5,19,19.56,197.8,0
5,17,26.2,182.06,0
5,7,36.44,149.01,0
5,10,60.02,286.99,0
6,9,53.52,225.79,0
6,10,39.67,378.33,0
6,5,103.59,441.59,0
6,8,5.98,51.86,0
6,19,58.28,498.51,0
7,15,8.25,43.33,0
7,18,18.28,79.2,0
7,9,104.09,462.64,0
7,6,9.02,47.65,0
8,17,12.23,49.19,0
8,9,37.86,161.1,0
9,10,48.49,230.03,0
10,17,69.84,333.84,0
11,7,65.65,489.12,0
11,12,24.58,136.09,0
11,2,21.83,131.75,0
11,16,33.07,257.98,0
12,16,91.44,497.78,0
12,10,33.23,287.35,0
12,18,46.39,413.48,0
12,1,3.58,19.54,0
13,19,24.59,133.97,0
13,6,89.18,493.72,0
13,17,18.81,171.68,0
13,10,20.22,189.49,0
13,15,6.21,42.39,0
14,9,67.03,312.69,0
14,15,91.72,405.95,0
14,8,33.74,170.22,0
14,13,7.8,42.36,0
15,14,18.11,149.51,0
15,11,15.77,118.96,0
15,6,55.66,346.73,0
16,0,40.12,317.02,0
16,13,89.99,380.04,0
16,14,50.46,229.86,0
17,4,54.67,368.35,0
18,7,5.39,27.72,0
18,17,46.21,264.32,0
19,14,60.78,272.53,0
19,5,121.79,488.59,0
19,7,18.97,141.43,0
19,17,108.42,482.17,0
19,16,50.86,401.44,0
