node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,LOG_1_D01_00000,Logic,1,3,1,0.080901,26,1,0.524,0.1885,0
1,REG_2_D05_00001,Register,5,3,2,0.032625,34,2,0.915,0.0609,0
2,LOG_4_D01_00002,Logic,1,1,3,0.094504,44,4,1.067,0.0918,0
3,LOG_2_D02_00003,Logic,2,3,4,0.134431,26,2,0.703,0.2204,0
4,LOG_1_D08_00004,Logic,8,4,4,0.030721,17,1,0.515,0.2342,0
5,PRT_2_D04_00005,Port,4,2,1,0.044698,33,2,0.848,0.4802,0
6,BUF_4_D10_00006,Buffer,10,9,3,0.003318,41,4,1.551,0.7352,1
7,LOG_4_D02_00007,Logic,2,5,1,0.145928,34,4,1.384,0.2913,0
8,LOG_2_D08_00008,Logic,8,5,4,-0.044031,40,2,0.982,0.7879,1
9,REG_2_D03_00009,Register,3,1,3,0.098784,20,2,0.972,0.2388,0
10,BUF_2_D04_00010,Buffer,4,1,3,0.044726,12,2,0.812,0.2373,0
11,LOG_1_D11_00011,Logic,11,13,2,-0.028756,42,1,0.639,0.6457,1
12,BUF_4_D05_00012,Buffer,5,3,1,0.096345,41,4,1.437,0.3147,0
13,BUF_8_D06_00013,Buffer,6,6,2,0.045835,26,8,2.815,0.3563,0
14,REG_8_D06_00014,Register,6,4,2,0.115548,6,8,1.737,0.2813,0
15,LOG_2_D07_00015,Logic,7,2,1,0.015688,37,2,0.983,0.2389,0
16,LOG_2_D03_00016,Logic,3,8,1,0.035967,29,2,0.799,0.2149,0
17,LOG_1_D08_00017,Logic,8,4,1,0.007904,29,1,0.478,0.303,0
18,BUF_8_D06_00018,Buffer,6,4,1,0.041229,42,8,3.058,0.224,0
