src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,19142,16.43,79.22,0
0,11354,58.23,309.08,0
0,17488,75.9,394.72,0
0,18133,26.35,238.82,0
0,11661,104.05,469.37,0
0,16512,57.6,447.65,0
0,5755,31.63,172.74,0
0,800,25.45,220.11,0
1,19276,10.14,93.78,0
1,10654,51.0,335.35,0
1,2907,9.47,61.11,0
1,6462,68.75,369.65,0
1,4606,18.35,82.38,0
1,20035,68.25,480.36,0
1,4334,9.68,38.92,0
2,14730,34.16,339.3,0
2,19366,6.57,40.89,0
2,1605,96.12,478.09,0
2,16733,5.44,28.75,0
3,7722,30.33,265.96,0
3,8930,56.72,238.28,0
3,10930,19.13,187.7,0
3,19471,33.98,259.3,0
3,20543,30.86,216.93,0
3,86,7.49,44.13,0
3,11648,107.3,465.66,0
3,18059,50.6,235.01,0
4,1310,40.41,349.1,0
4,16166,8.15,87.88,0
4,3298,87.92,385.48,0
4,9108,30.04,373.77,0
4,14699,61.62,339.76,0
4,20720,15.63,118.67,0
5,8238,26.88,204.9,0
5,13248,11.87,58.69,0
5,3509,12.6,146.02,0
5,18569,73.61,441.4,0
6,458,33.23,168.79,0
6,9587,104.14,477.53,0
6,17370,4.27,36.71,0
6,9185,19.65,213.99,0
6,16439,18.32,156.54,0
6,12139,33.74,269.95,0
7,14254,22.84,114.85,0
7,19384,86.69,430.03,0
7,14391,43.19,362.97,0
7,11148,50.01,423.64,0
7,4334,60.87,411.04,0
7,985,11.54,94.16,0
7,14126,53.32,290.73,0
8,17457,38.74,456.34,0
8,11589,47.46,412.17,0
8,15472,11.46,108.72,0
8,4137,6.42,68.14,0
8,13723,116.21,471.05,0
8,4580,65.26,275.03,0
9,7704,19.45,173.81,0
9,2582,45.5,309.94,0
9,2202,27.33,120.24,0
9,13290,74.15,362.84,0
10,1844,35.65,275.57,0
10,14798,87.04,431.35,0
10,7905,49.79,208.34,0
10,7394,46.79,226.69,0
10,12340,11.72,144.42,0
10,16558,23.88,137.59,0
11,6238,85.75,404.94,0
11,19354,26.68,135.94,0
11,2955,26.64,162.68,0
11,6286,55.84,338.71,0
11,342,43.04,419.95,0
12,1657,31.8,146.36,0
12,6201,14.35,116.43,0
12,13046,6.77,43.8,0
12,4518,55.97,447.6,0
12,3778,54.68,393.46,0
12,11142,108.15,453.06,0
12,568,12.74,152.53,0
13,2294,39.7,386.48,0
13,3910,51.39,388.1,0
13,4268,45.53,266.89,0
13,10601,3.38,37.5,0
13,19771,71.99,299.96,0
13,14629,67.63,363.89,0
14,2236,6.08,25.02,0
14,10532,15.41,64.2,0
14,12371,2.84,24.83,0
14,7502,25.16,185.11,0
14,6363,21.98,247.78,0
15,11687,20.72,83.12,0
15,8760,27.88,134.13,0
15,16747,63.51,359.98,0
15,9590,40.98,472.19,0
15,20916,13.76,147.13,0
15,7608,51.09,379.92,0
15,4080,5.3,49.19,0
16,20647,30.65,298.61,0
16,2548,13.75,117.88,0
16,7896,7.24,32.39,0
16,19474,5.01,51.58,0
16,11017,42.7,489.17,0
16,12602,47.14,215.34,0
17,7464,72.5,380.34,0
17,19639,35.02,174.28,0
17,19219,7.42,78.6,0
17,9197,35.45,285.09,0
17,8775,38.95,274.21,0
17,3741,17.75,122.68,0
17,16970,88.12,363.75,0
17,2722,27.26,251.98,0
18,1503,51.07,232.19,0
18,9576,48.35,214.33,0
18,18251,69.03,450.17,1
18,4002,109.39,482.22,1
18,13275,85.64,488.69,0
18,16049,29.8,191.22,0
18,16046,43.83,370.89,0
18,19426,67.08,452.38,0
19,10322,5.68,42.38,0
19,950,19.09,162.03,0
19,492,67.08,317.17,0
19,2818,42.18,391.55,0
19,16821,20.3,126.65,0
19,2208,35.67,359.77,0
19,11234,33.98,217.32,0
20,6003,3.73,27.86,0
20,392,4.15,21.84,0
20,5994,40.18,288.81,0
20,20176,86.98,376.93,0
20,3954,19.83,246.97,0
21,1736,25.99,151.55,0
21,15448,12.88,73.89,0
21,3958,64.44,325.85,0
21,15981,60.14,363.14,0
21,6064,37.97,392.94,0
21,14344,12.8,53.41,0
21,12095,9.69,48.38,0
22,2188,53.5,256.46,0
22,11511,48.15,319.24,0
22,4929,18.73,215.85,0
22,10733,9.22,107.91,0
23,10246,62.1,266.72,0
23,7272,22.88,195.25,0
23,1745,49.24,219.53,0
23,1855,58.61,321.21,0
23,7718,35.73,216.77,0
24,18600,5.56,38.3,0
24,20231,59.42,464.76,0
24,1092,81.97,413.05,0
24,20528,55.36,248.77,0
24,19096,20.24,217.67,0
24,9677,6.85,31.43,0
24,5163,71.5,351.98,0
25,17923,37.9,361.46,0
25,9558,90.82,498.01,0
25,16271,20.84,187.53,0
25,3062,54.4,458.13,0
25,9950,21.62,128.74,0
26,11490,14.22,134.12,0
26,16695,68.72,397.13,0
26,1829,117.96,486.12,0
26,2789,112.96,481.68,0
27,9171,13.3,133.26,0
27,13136,34.09,229.99,0
27,11121,21.2,138.79,0
27,18053,40.68,305.73,0
27,2279,60.52,473.35,0
27,16020,53.86,270.83,0
27,979,50.78,364.7,0
27,16448,43.75,381.15,0
28,17740,64.46,293.06,0
28,9057,29.24,118.06,0
28,19605,56.81,288.45,0
28,16555,24.2,218.73,0
28,16838,4.98,43.0,0
28,7500,1.51,9.88,0
28,14872,43.2,247.96,0
28,9059,25.47,154.42,0
29,527,23.91,187.25,0
29,11982,78.31,329.32,0
29,3095,18.01,80.55,0
29,14450,30.97,254.4,0
29,5238,14.46,152.12,0
29,10297,2.53,13.16,0
29,6841,41.45,415.93,0
29,2505,32.95,275.66,0
30,11049,1.71,8.35,0
30,14275,36.46,160.71,0
30,20690,76.17,314.26,0
30,5262,3.58,41.75,0
30,1586,28.62,325.22,0
30,9904,11.05,52.77,0
30,14931,88.29,436.79,0
30,2746,32.63,237.22,0
31,9270,21.29,228.02,0
31,7545,18.72,123.62,0
31,20520,33.36,166.82,0
31,3987,2.92,23.49,0
31,10360,92.87,455.18,0
31,11379,66.61,423.03,0
31,20295,19.69,223.3,0
32,6020,60.58,429.78,0
32,959,15.0,89.13,0
32,16280,50.99,342.98,0
32,10116,56.21,312.46,0
33,13735,103.32,448.9,0
33,19297,33.09,180.93,0
33,10364,27.5,242.73,0
33,7432,41.36,239.57,0
34,14282,14.15,167.68,0
34,14632,49.58,264.87,0
34,19495,11.67,76.2,0
34,4298,50.67,372.65,0
34,9017,53.88,312.94,0
34,7345,19.67,202.54,0
34,19526,84.51,342.6,0
35,12347,16.77,164.18,1
35,9388,25.97,276.04,0
35,17543,15.13,122.16,0
35,16844,2.78,13.42,0
35,15143,24.74,239.05,0
35,16923,60.55,388.37,0
35,20022,78.37,428.35,1
36,5810,74.9,335.54,0
36,2458,8.99,57.45,0
36,6648,55.21,481.52,0
36,12081,108.65,442.56,0
37,17412,57.37,277.34,0
37,20337,51.56,248.51,1
37,14322,80.23,447.9,1
37,2866,32.28,263.58,0
37,6862,13.55,94.28,0
37,7752,41.65,166.87,0
38,19333,41.19,263.39,0
38,20492,51.67,349.72,0
38,9544,100.91,447.77,0
38,1253,18.11,226.07,0
39,8950,32.47,171.0,0
39,19195,24.2,287.63,0
39,10211,38.22,292.37,0
39,16642,48.41,208.25,0
39,13799,29.4,142.0,0
39,1717,54.99,293.32,0
39,160,51.22,334.83,0
40,16453,53.86,247.35,0
40,18342,2.26,11.73,0
40,19985,71.49,459.34,0
40,4500,35.59,256.68,0
40,18998,81.74,388.77,0
41,1664,31.66,173.14,1
41,12424,36.8,226.04,0
41,7320,64.94,412.73,0
41,11707,34.01,231.29,0
41,14862,5.41,37.42,0
41,19202,86.04,495.71,1
42,16709,45.65,428.13,0
42,16751,49.6,274.71,0
42,1342,23.07,115.59,0
42,18840,29.6,171.01,0
42,2691,30.31,158.78,0
43,12679,43.19,308.56,0
43,9836,28.38,242.56,0
43,9911,19.45,105.29,0
43,12287,27.98,154.57,0
43,434,18.2,99.61,0
43,19936,85.75,477.9,0
43,15468,87.05,441.35,0
43,13659,21.07,146.5,0
44,15387,18.03,145.4,0
44,11963,30.18,264.17,0
44,6462,58.5,428.8,0
44,7968,78.51,393.27,0
45,1098,84.58,408.11,0
45,19705,29.32,322.73,0
45,6870,12.28,99.4,0
45,9840,6.49,35.57,0
45,18904,50.97,394.74,0
45,7933,14.72,141.32,0
45,14619,61.79,370.7,0
46,1208,9.83,70.07,0
46,2861,40.02,174.48,0
46,19803,4.83,37.91,0
46,14193,40.11,190.45,0
47,20560,42.37,293.03,1
47,7024,53.82,362.44,0
47,3019,47.92,376.91,0
47,10343,38.96,210.52,0
48,19854,4.66,29.01,0
48,10518,56.31,329.69,0
48,2770,8.97,53.88,0
48,7387,44.18,339.12,0
48,14777,48.4,292.81,0
48,17547,87.61,368.58,0
48,17881,45.45,201.66,0
48,4111,57.75,319.74,0
49,8311,27.43,120.17,0
49,230,50.5,487.78,0
49,2540,56.88,447.56,0
49,15146,0.89,5.75,0
50,13476,27.54,151.21,0
50,11738,13.1,60.66,0
50,14887,33.49,278.59,0
50,7807,14.54,107.96,0
50,10354,50.82,301.99,0
51,2690,16.7,150.32,0
51,8486,13.43,63.88,0
51,9923,43.67,204.92,1
51,16067,27.32,216.32,0
51,13263,51.01,279.64,0
51,5769,43.89,273.79,0
52,13595,26.54,227.06,0
52,12743,91.05,372.44,0
52,7886,36.26,277.91,0
52,16559,116.24,487.92,0
52,17675,3.39,14.09,0
52,14336,5.01,29.4,0
53,19058,32.27,203.47,0
53,13489,76.68,395.35,0
53,20261,40.33,185.57,0
53,7858,74.94,380.06,0
53,2765,43.05,175.98,0
53,11805,15.91,134.81,0
53,3880,6.84,30.64,0
53,8817,20.87,217.03,0
54,11326,35.0,150.31,0
54,2492,54.9,271.28,0
54,8475,13.13,150.28,0
54,2656,34.88,243.94,0
54,5913,31.84,221.7,0
55,18922,43.89,187.15,1
55,7161,36.55,417.48,1
55,13356,58.96,307.83,1
55,5400,97.97,406.69,0
55,11987,63.66,485.43,0
55,9714,87.38,420.49,0
55,11440,81.15,422.44,0
56,856,71.5,315.69,0
56,7686,23.88,124.49,0
56,3732,13.05,116.71,0
56,19623,38.66,210.52,0
57,19595,87.68,411.69,0
57,8731,36.16,155.74,0
57,3898,18.9,77.5,0
57,12264,20.17,251.78,0
58,17455,18.85,114.57,1
58,18981,15.69,98.74,0
58,9068,83.88,498.17,0
58,18680,76.77,455.35,1
58,12359,107.53,497.37,1
59,8937,32.85,247.31,0
59,3320,8.4,39.91,0
59,18492,31.72,366.57,0
59,5365,26.67,185.24,0
59,8643,69.22,402.51,0
60,3896,51.29,235.56,0
60,11870,66.01,474.75,0
60,20300,91.24,375.42,0
60,3091,73.14,297.7,0
60,7399,12.15,130.44,0
60,19502,36.73,334.15,0
61,2841,53.35,243.55,0
61,5247,16.71,85.61,0
61,16167,71.81,382.39,0
61,6720,42.33,289.96,0
61,18528,95.96,464.26,0
61,12090,51.32,450.17,0
61,8517,54.0,232.52,0
61,155,73.12,374.43,0
62,5443,64.75,483.91,0
62,1307,46.99,217.59,0
62,2260,70.98,495.34,0
62,12881,27.22,228.97,0
62,1464,72.03,453.31,0
