node_id,name,cell_type,logic_depth,fanout,fan_in,slack_ns,cell_delay_ps,drive_strength,cell_area_um2,congestion_score,is_critical
0,BUF_2_D03_00000,Buffer,3,5,1,0.073263,40,2,0.979,0.3834,0
1,REG_4_D02_00001,Register,2,4,3,0.037383,31,4,1.197,0.4421,0
2,BUF_16_D08_00002,Buffer,8,2,4,0.012783,42,16,2.928,0.3355,0
3,REG_2_D02_00003,Register,2,7,3,0.064901,14,2,0.997,0.4419,0
4,LOG_8_D08_00004,Logic,8,3,3,0.130047,10,8,2.032,0.1312,0
5,PRT_16_D06_00005,Port,6,1,1,0.070548,15,16,5.146,0.1442,0
6,LOG_8_D02_00006,Logic,2,3,4,0.096856,35,8,1.507,0.2315,0
7,BUF_1_D06_00007,Buffer,6,1,3,0.114743,6,1,0.575,0.289,0
8,LOG_2_D06_00008,Logic,6,5,2,0.019893,24,2,0.626,0.2765,0
9,LOG_4_D05_00009,Logic,5,8,3,0.067881,13,4,1.697,0.3591,0
10,LOG_2_D04_00010,Logic,4,3,4,0.007773,13,2,0.894,0.1509,0
11,BUF_4_D03_00011,Buffer,3,2,3,0.108111,29,4,1.517,0.4065,0
12,BUF_8_D01_00012,Buffer,1,2,1,0.011994,33,8,1.698,0.1021,0
13,LOG_8_D11_00013,Logic,11,6,2,-0.020909,44,8,2.559,0.7652,1
14,BUF_1_D05_00014,Buffer,5,3,4,0.125445,44,1,0.507,0.0972,0
15,REG_4_D08_00015,Register,8,4,2,0.117804,17,4,1.463,0.4242,0
16,LOG_1_D01_00016,Logic,1,8,2,0.10479,20,1,0.453,0.2663,0
17,LOG_1_D02_00017,Logic,2,8,2,0.14267,9,1,0.631,0.4008,0
18,BUF_1_D09_00018,Buffer,9,8,3,-0.040536,36,1,0.62,0.4999,1
19,LOG_1_D06_00019,Logic,6,7,1,0.018775,7,1,0.62,0.3912,0
20,BUF_1_D03_00020,Buffer,3,6,3,0.134707,22,1,0.525,0.4798,0
21,LOG_8_D02_00021,Logic,2,7,4,0.144535,29,8,2.78,0.1723,0
22,BUF_1_D12_00022,Buffer,12,6,1,-0.068737,35,1,0.533,0.8132,1
23,BUF_8_D08_00023,Buffer,8,3,4,0.117979,13,8,2.973,0.3251,0
24,LOG_16_D07_00024,Logic,7,8,1,0.014184,5,16,5.156,0.3447,0
25,BUF_4_D04_00025,Buffer,4,6,1,0.067763,35,4,1.431,0.377,0
26,BUF_8_D03_00026,Buffer,3,1,1,0.098293,35,8,2.891,0.1206,0
27,LOG_2_D08_00027,Logic,8,6,2,0.05298,37,2,0.82,0.1752,0
28,LOG_8_D04_00028,Logic,4,2,4,0.069407,10,8,2.215,0.3079,0
29,LOG_1_D08_00029,Logic,8,1,1,0.063499,40,1,0.615,0.0661,0
30,REG_2_D05_00030,Register,5,4,4,0.142801,8,2,0.938,0.2135,0
31,LOG_1_D08_00031,Logic,8,6,4,0.021533,19,1,0.518,0.3917,0
32,REG_8_D05_00032,Register,5,6,1,0.011638,13,8,1.671,0.1239,0
33,BUF_4_D04_00033,Buffer,4,2,4,0.03626,17,4,0.986,0.421,0
34,LOG_8_D02_00034,Logic,2,8,4,0.100476,13,8,1.507,0.4803,0
35,BUF_16_D10_00035,Buffer,10,10,5,-0.038951,36,16,3.256,0.7042,1
36,REG_2_D02_00036,Register,2,7,3,0.078096,43,2,0.709,0.2231,0
37,PRT_4_D08_00037,Port,8,11,2,-0.068255,57,4,1.574,0.7513,1
38,BUF_2_D06_00038,Buffer,6,4,2,0.035408,27,2,0.993,0.3715,0
39,BUF_16_D03_00039,Buffer,3,6,1,0.115312,42,16,5.717,0.303,0
40,BUF_1_D05_00040,Buffer,5,7,1,0.080796,14,1,0.584,0.0614,0
41,LOG_4_D12_00041,Logic,12,6,3,-0.021912,28,4,1.063,0.5232,1
42,BUF_2_D06_00042,Buffer,6,8,1,0.094336,40,2,0.897,0.354,0
43,BUF_16_D04_00043,Buffer,4,5,1,0.13934,25,16,2.872,0.2244,0
44,BUF_16_D04_00044,Buffer,4,8,2,0.137166,28,16,4.449,0.3671,0
45,BUF_2_D04_00045,Buffer,4,5,4,0.030727,16,2,0.894,0.3572,0
46,LOG_4_D01_00046,Logic,1,7,3,0.085707,42,4,0.905,0.1085,0
47,LOG_8_D07_00047,Logic,7,4,2,-0.001067,44,8,2.764,0.7484,1
48,BUF_2_D02_00048,Buffer,2,6,2,0.143763,37,2,0.766,0.2843,0
49,BUF_4_D02_00049,Buffer,2,6,2,0.133093,26,4,1.135,0.3485,0
50,PRT_16_D08_00050,Port,8,1,1,0.101996,44,16,3.48,0.2506,0
51,LOG_1_D08_00051,Logic,8,10,1,-0.047201,43,1,0.632,0.7201,1
52,REG_4_D06_00052,Register,6,8,4,0.011358,17,4,1.311,0.4542,0
53,PRT_8_D03_00053,Port,3,1,1,0.035563,18,8,2.837,0.3333,0
54,LOG_1_D07_00054,Logic,7,2,2,0.008444,7,1,0.465,0.3726,0
55,LOG_8_D08_00055,Logic,8,12,1,-0.031128,41,8,2.121,0.5638,1
56,BUF_16_D07_00056,Buffer,7,6,1,0.061478,5,16,2.902,0.1032,0
57,BUF_16_D01_00057,Buffer,1,2,3,0.139567,24,16,2.977,0.0978,0
58,REG_16_D09_00058,Register,9,10,4,-0.01012,35,16,3.404,0.4654,1
59,BUF_1_D05_00059,Buffer,5,3,3,0.103207,28,1,0.561,0.4614,0
60,BUF_1_D02_00060,Buffer,2,1,1,0.088044,40,1,0.511,0.2273,0
61,BUF_2_D06_00061,Buffer,6,4,4,0.136316,14,2,0.674,0.4332,0
62,BUF_16_D05_00062,Buffer,5,4,1,0.031297,8,16,4.176,0.4098,0
63,BUF_4_D05_00063,Buffer,5,2,3,0.019239,36,4,1.186,0.3765,0
64,BUF_8_D04_00064,Buffer,4,2,3,0.09483,25,8,2.221,0.4551,0
65,BUF_1_D05_00065,Buffer,5,3,3,0.122116,15,1,0.513,0.4814,0
66,REG_8_D07_00066,Register,7,5,3,0.024474,35,8,2.213,0.3798,0
67,REG_2_D08_00067,Register,8,2,2,0.098605,22,2,0.957,0.0869,0
68,LOG_16_D02_00068,Logic,2,2,1,0.12819,42,16,3.996,0.3342,0
69,BUF_2_D01_00069,Buffer,1,5,4,0.099817,30,2,0.957,0.1169,0
70,BUF_4_D12_00070,Buffer,12,8,2,-0.0405,50,4,1.302,0.7052,1
71,BUF_2_D03_00071,Buffer,3,3,4,0.028087,41,2,0.894,0.3049,0
72,LOG_4_D06_00072,Logic,6,1,2,0.115413,21,4,1.087,0.1543,0
73,BUF_4_D06_00073,Buffer,6,7,4,0.138096,7,4,0.983,0.4467,0
74,PRT_1_D05_00074,Port,5,5,2,0.059616,42,1,0.553,0.2203,0
75,LOG_16_D04_00075,Logic,4,7,3,0.123499,35,16,2.721,0.2053,0
76,REG_2_D08_00076,Register,8,3,2,0.016178,18,2,0.675,0.3396,0
77,LOG_8_D02_00077,Logic,2,4,4,0.12262,35,8,2.266,0.3741,0
78,BUF_2_D07_00078,Buffer,7,1,2,0.011256,15,2,0.852,0.3081,0
79,LOG_16_D03_00079,Logic,3,1,2,0.042448,30,16,5.802,0.131,0
80,BUF_2_D05_00080,Buffer,5,2,2,0.070134,35,2,0.688,0.4967,0
81,LOG_4_D07_00081,Logic,7,13,2,-0.027027,35,4,1.638,0.7054,1
82,BUF_16_D02_00082,Buffer,2,4,4,0.060892,17,16,5.451,0.0989,0
83,BUF_1_D07_00083,Buffer,7,3,1,0.030726,43,1,0.626,0.4557,0
84,BUF_1_D12_00084,Buffer,12,5,1,-0.03901,59,1,0.629,0.5152,1
85,REG_2_D07_00085,Register,7,7,3,0.13185,32,2,0.975,0.3639,0
86,LOG_1_D07_00086,Logic,7,6,1,0.066696,19,1,0.507,0.1645,0
87,REG_16_D09_00087,Register,9,8,2,-0.079535,25,16,4.372,0.8218,1
88,BUF_16_D07_00088,Buffer,7,4,3,0.064283,32,16,3.512,0.098,0
89,REG_8_D07_00089,Register,7,6,3,0.148811,18,8,2.383,0.2289,0
90,BUF_8_D03_00090,Buffer,3,6,4,0.041798,27,8,2.677,0.188,0
91,REG_2_D02_00091,Register,2,4,4,0.118551,11,2,0.803,0.4772,0
92,REG_8_D12_00092,Register,12,12,5,-0.02075,35,8,3.043,0.8034,1
93,LOG_4_D02_00093,Logic,2,3,4,0.13925,9,4,1.077,0.2459,0
94,LOG_1_D01_00094,Logic,1,7,4,0.094025,43,1,0.639,0.2845,0
95,REG_4_D08_00095,Register,8,8,1,0.034248,38,4,1.056,0.3456,0
96,REG_1_D04_00096,Register,4,3,1,0.057162,15,1,0.649,0.3448,0
97,REG_1_D06_00097,Register,6,7,4,0.089982,9,1,0.56,0.283,0
98,BUF_16_D10_00098,Buffer,10,13,3,-0.050465,39,16,5.782,0.8578,1
99,LOG_1_D07_00099,Logic,7,1,3,0.03038,40,1,0.551,0.2778,0
100,LOG_8_D02_00100,Logic,2,5,3,0.105658,41,8,2.732,0.4847,0
101,REG_2_D08_00101,Register,8,8,1,0.074886,29,2,0.871,0.166,0
102,LOG_2_D06_00102,Logic,6,7,3,0.079893,21,2,0.715,0.0544,0
103,LOG_4_D06_00103,Logic,6,2,2,0.074101,41,4,1.046,0.2091,0
